PolicyExecTime,AverageQ,AbsLearnSignalNew,ProcessExecTime,AbsLearnSignal,ItrTime,AveragePolicyStd,ExplainedVariance,Time,MinReturn,Perplexity,MeanKL,EnvExecTime,AverageY,MeanKLBefore,AverageReturn,AverageDiscountedReturn,Entropy,AverageQLoss,StdReturn,AverageAbsQ,AverageAbsY,AverageAbsQYDiff,AbsLearnSignalOld,Iteration,MaxReturn,LossBefore,NumTrajs,dLoss,LossAfter
0.9608805179595947,192.36,0.521589573756,0.12493371963500977,0.521589573756,53.23572754859924,1.0015,0.482094903139,19991.73427939415,339.527128848,3.06937e+10,0.00477724,8.853524684906006,192.373358288,0.0,484.79631315,302.936856358,24.1473,159.541,90.3347700702,193.983,193.941108287,8.38882937731,0.520193006624,361,733.629970386,-210.629,52,0.0787811,-210.707
0.9873716831207275,192.524,0.304975261217,0.13080406188964844,0.304975261217,54.09764909744263,1.00153,-0.524253124863,20045.956338882446,335.43270364,3.07054e+10,0.00996254,9.303272247314453,192.539272263,0.0,486.288095926,302.313417082,24.1477,153.237,106.842841291,194.05,194.01010589,8.25437120509,0.304666327962,362,855.948878306,-209.503,51,0.096344,-209.599
1.02536940574646,193.227,0.600656499048,0.13301825523376465,0.600656499048,53.96902871131897,1.00144,0.390755865302,20100.050710439682,252.553348081,3.0662e+10,0.00988334,9.299145460128784,193.242048648,0.0,436.919437645,284.948654805,24.1463,151.828,70.0579692965,194.665,194.631266066,8.18984517509,0.600854772876,363,643.235994332,-203.846,57,0.100693,-203.946
1.007544994354248,192.056,0.622691045947,0.13196063041687012,0.622691045947,53.93949031829834,1.00146,0.648050319433,20154.11773610115,336.247711658,3.06727e+10,0.00987239,9.41174840927124,192.067105935,0.0,470.944321289,297.376016773,24.1466,154.269,86.6830733175,193.465,193.437120276,8.08091316408,0.621918340909,364,724.313402188,-207.485,53,0.103317,-207.589
1.0311017036437988,192.066,0.661308150104,0.13645029067993164,0.661308150104,53.108166217803955,1.00138,0.714785123315,20207.351017951965,323.020290865,3.06282e+10,0.00901115,9.522133588790894,192.082050064,0.0,455.871937274,292.170395245,24.1452,142.834,72.8229002622,193.493,193.4751383,7.99878152576,0.659854761372,365,674.099280817,-204.292,55,0.0892792,-204.381
1.023848533630371,191.653,0.320915887095,0.13649487495422363,0.320915887095,53.12941789627075,1.00134,-0.157137662521,20260.620828151703,345.699294793,3.0611e+10,0.00915201,9.5634446144104,191.663668831,0.0,477.361443725,299.940250342,24.1446,142.02,93.3489510598,193.102,193.078008449,7.97508588651,0.320204524996,366,705.814688047,-203.158,53,0.122467,-203.28
1.0612292289733887,191.936,0.556467599395,0.13751912117004395,0.556467599395,53.70950651168823,1.00136,0.402149590726,20314.45963549614,283.165368552,3.06214e+10,0.00949932,9.908000230789185,191.952304364,0.0,449.188129027,289.730701303,24.145,142.112,86.6916755355,193.38,193.370338422,7.94676731996,0.555583736762,367,754.663856802,-200.479,56,0.0984192,-200.578
1.0563685894012451,191.993,0.39053522059,0.1385936737060547,0.39053522059,53.74876546859741,1.00138,0.114304356614,20368.342769622803,266.608513751,3.06305e+10,0.00854333,9.787444353103638,192.004474399,0.0,470.098851099,297.075791448,24.1453,134.691,89.9549159358,193.498,193.487253452,7.78842397788,0.390062080341,368,680.120249943,-208.96,53,0.0929871,-209.053
1.0602977275848389,191.094,0.236329804681,0.13898253440856934,0.236329804681,54.58242225646973,1.00143,-2.48311872985,20423.055352449417,242.857460746,3.06534e+10,0.00263732,9.98538613319397,191.106133757,0.0,462.657945556,288.546744445,24.146,131.815,136.766582296,192.662,192.656701709,7.73667261772,0.236085707143,369,1020.35308133,-195.092,52,0.0473785,-195.139
1.0858252048492432,190.909,0.643129649037,0.14271020889282227,0.643129649037,55.824610233306885,1.00144,0.28339728221,20479.046894311905,326.215278934,3.066e+10,0.00966893,9.864841222763062,190.920030896,0.0,485.704456315,299.870752829,24.1462,129.972,137.018358577,192.579,192.577000502,7.71637002041,0.643071123062,370,1117.78990244,-206.455,51,0.104416,-206.56
1.111321210861206,190.487,0.647612884105,0.1470324993133545,0.647612884105,54.51400589942932,1.0014,0.214852919383,20533.69317150116,314.503974135,3.06398e+10,0.00984169,9.802807807922363,190.498758631,0.0,467.266591781,295.647826381,24.1456,137.907,83.7511521892,192.25,192.246830981,7.81491182858,0.64723359408,371,678.817529801,-200.356,52,0.104614,-200.461
1.026977777481079,190.874,0.595692229736,0.13539767265319824,0.595692229736,53.95124959945679,1.00139,0.360997092018,20587.778932094574,318.045744487,3.06352e+10,0.00939256,9.863600015640259,190.887525355,0.0,477.902162284,296.930372145,24.1454,132.849,118.893661131,192.73,192.731777325,7.78138976981,0.595170684693,372,797.418491914,-202.667,51,0.107025,-202.774
1.0293948650360107,190.89,0.667099334735,0.13535571098327637,0.667099334735,53.47957158088684,1.00128,0.540281651999,20641.391000270844,264.967336626,3.0576e+10,0.00976979,9.747311115264893,190.903917892,0.0,452.56371875,289.903324494,24.1435,131.958,86.9263721894,192.859,192.865107206,7.78935763526,0.666464644059,373,763.357622051,-198.707,54,0.106674,-198.814
1.021514654159546,191.009,0.637251455757,0.1340796947479248,0.637251455757,53.630000591278076,1.00121,0.612318105551,20695.15097475052,241.06173019,3.05432e+10,0.00975914,9.666240453720093,191.021684934,0.0,449.307450602,287.376882846,24.1424,133.175,102.239594222,193.078,193.083749386,7.83157790231,0.636705127753,374,736.159888414,-203.542,54,0.102936,-203.645
1.0624549388885498,190.685,0.0780565518015,0.14032626152038574,0.0780565518015,54.176968574523926,1.00127,-99.6258471639,20749.461494207382,299.796684719,3.05731e+10,0.00998659,10.092832565307617,190.69863467,0.0,456.712409601,289.533730466,24.1434,133.512,121.990083554,192.941,192.952209641,7.84836632816,0.0779568696973,375,949.466773192,-208.332,54,0.101913,-208.434
1.032745599746704,190.384,0.12757897644,0.13630008697509766,0.12757897644,53.45980453491211,1.00124,-24.0630286685,20803.057032585144,194.113092281,3.05563e+10,0.00997338,10.09092402458191,190.393909371,0.0,465.859214263,291.494864721,24.1428,136.922,127.028371985,192.774,192.783974672,7.95507067977,0.127635922752,376,854.604436465,-205.908,52,0.103409,-206.012
1.0304763317108154,191.207,0.40538186125,0.13620257377624512,0.40538186125,54.01932501792908,1.00121,-0.612228200926,20857.21937608719,332.41744268,3.05423e+10,0.00985533,9.97836709022522,191.2225263,0.0,462.931158731,294.652501001,24.1424,139.864,96.7808163076,193.587,193.613777425,7.97980885181,0.404895954079,377,871.757505877,-207.124,54,0.112854,-207.236
1.0113911628723145,191.129,0.668508422123,0.13662242889404297,0.668508422123,53.9110107421875,1.0013,0.406343715593,20911.265989542007,214.991866456,3.05896e+10,0.00994199,9.768205404281616,191.140969815,0.0,467.211363833,292.649401319,24.1439,143.532,129.203352321,193.659,193.676547809,8.16209927963,0.668046017401,378,933.57163168,-210.221,53,0.113358,-210.334
1.021284818649292,191.265,0.147350534829,0.13416004180908203,0.147350534829,54.237247705459595,1.00135,-24.0053046965,20965.633914232254,242.876333247,3.06129e+10,0.00951462,9.773881673812866,191.275321138,0.0,477.835476336,294.926319646,24.1447,146.188,146.962404848,193.901,193.930319873,8.1568376956,0.147325290198,379,979.514580226,-218.703,51,0.115372,-218.818
1.0364162921905518,191.511,0.177820227379,0.13808751106262207,0.177820227379,55.06766414642334,1.00141,-16.3963517046,21020.838242053986,222.498441317,3.0644e+10,0.00651306,9.8471360206604,191.522986814,0.0,441.401723109,284.446150492,24.1457,147.148,103.912324559,194.29,194.312258007,8.24930673583,0.177766130017,380,739.415878814,-202.243,55,0.0899963,-202.333
