MaxReturn,AverageReturn,AbsLearnSignalNew,AverageDiscountedReturn,NumTrajs,AverageQ,Entropy,Time,AverageQLoss,LossBefore,MeanKLBefore,Iteration,PolicyExecTime,ExplainedVariance,EnvExecTime,LossAfter,AverageAbsQ,AverageAbsQYDiff,Perplexity,ProcessExecTime,AbsLearnSignalOld,AverageY,AverageAbsY,StdReturn,ItrTime,MinReturn,dLoss,MeanKL,AveragePolicyStd,AbsLearnSignal
568.912225457,305.540376316,0.446806083941,220.724271897,80,149.652,24.1236,1093.5363347530365,113.667,-161.29,0.0,16,1.162499189376831,-1.3301944955,8.992860078811646,-161.576,149.691,7.34730033763,2.9973e+10,0.1424245834350586,0.446455030196,149.671931384,149.676263444,98.1353853521,64.44800758361816,86.4698203254,0.285263,0.00640758,1.0001,0.446806083941
674.6709266,319.40591284,0.485636183578,228.697909006,77,156.669,24.1231,1157.8005466461182,119.204,-170.042,0.0,17,1.1639962196350098,-0.285030887919,9.066978454589844,-170.281,156.718,7.43235595996,2.99581e+10,0.14060282707214355,0.484998419017,156.687750634,156.693628284,92.2210505171,64.14418840408325,82.3232865288,0.238846,0.00643384,1.00007,0.485636183578
631.97407335,320.308175894,0.23413052386,229.969151197,76,163.154,24.1231,1222.4981660842896,122.261,-171.001,0.0,18,1.1320159435272217,-7.53810167679,8.914217472076416,-171.259,163.199,7.58566517502,2.99598e+10,0.13832855224609375,0.233592404807,163.175620448,163.186336124,82.9633063121,64.57811331748962,129.389823245,0.257751,0.00961245,1.00007,0.23413052386
623.557025849,325.765872355,0.194993163233,233.501118568,76,168.856,24.1215,1287.656932592392,128.82,-178.652,0.0,19,1.150179386138916,-6.85014667601,9.084198713302612,-178.931,168.91,7.71352034264,2.99106e+10,0.1390378475189209,0.194587064531,168.875781557,168.88704252,77.6077031694,65.03486585617065,109.162681443,0.279053,0.00989674,0.999973,0.194993163233
545.025622079,341.512355608,0.657374713874,242.063392409,73,173.386,24.1215,1351.959520816803,123.002,-178.333,0.0,20,1.1596274375915527,0.552771469807,9.133031606674194,-178.497,173.433,7.65675046474,2.99109e+10,0.141218900680542,0.656424590274,173.405084498,173.414313164,74.4414685708,64.17934083938599,149.781114652,0.164383,0.00642976,0.999974,0.657374713874
468.222777806,342.626821678,0.547546791257,244.249262052,73,176.447,24.1182,1416.8654599189758,122.767,-180.549,0.0,21,1.1843278408050537,0.510224705588,9.233731031417847,-180.722,176.495,7.64530952993,2.9812e+10,0.14005041122436523,0.545174047058,176.471360476,176.48264161,58.1862066216,64.77935862541199,218.676473549,0.172974,0.00929284,0.999779,0.547546791257
616.98903529,350.780440649,0.67699576627,245.97223948,70,178.567,24.1202,1480.3620836734772,121.159,-181.076,0.0,22,1.1753356456756592,0.640411070439,9.486485481262207,-181.242,178.607,7.61597090843,2.98714e+10,0.13831019401550293,0.675090370513,178.587462143,178.593487897,83.0876335901,63.370338916778564,193.723406656,0.165726,0.00994811,0.999896,0.67699576627
458.18787106,329.548477833,0.56559657155,237.077293287,75,179.684,24.1199,1543.2633259296417,119.33,-183.515,0.0,23,1.1673345565795898,0.509627267329,9.430280208587646,-183.686,179.72,7.54499855819,2.9864e+10,0.1391746997833252,0.564293840414,179.702951781,179.70684387,54.8375203121,62.78209662437439,192.919779759,0.171127,0.00831092,0.999881,0.56559657155
679.334537374,333.855833679,0.531958859174,238.562112316,74,179.737,24.1199,1606.6302511692047,116.441,-176.214,0.0,24,1.1416316032409668,0.497088353323,9.34965991973877,-176.345,179.773,7.46882691838,2.98648e+10,0.1377098560333252,0.531288279835,179.760503142,179.764590238,71.9899257232,63.249281883239746,222.298789989,0.131302,0.00982898,0.999883,0.531958859174
647.737621789,339.576434443,0.650151368082,240.869507826,73,178.76,24.1224,1670.1794333457947,111.34,-179.188,0.0,25,1.202143907546997,0.453236619343,9.65342402458191,-179.342,178.791,7.33893495891,2.99376e+10,0.1422133445739746,0.649602252446,178.780827,178.78417345,79.7261233227,63.43482232093811,145.782103806,0.153839,0.00996133,1.00003,0.650151368082
518.612215604,338.634082272,0.40110588178,241.738435405,72,177.138,24.1233,1733.960219860077,108.602,-176.277,0.0,26,1.146500587463379,-0.0554128803066,9.259984016418457,-176.393,177.167,7.26574609103,2.99658e+10,0.1381528377532959,0.400105895628,177.161280405,177.165200608,56.3083253629,63.65713381767273,246.469649397,0.116074,0.00886623,1.00008,0.40110588178
