AverageAbsY,ProcessExecTime,Entropy,AbsLearnSignalNew,Iteration,AverageQ,ExplainedVariance,LossBefore,MaxReturn,StdReturn,Perplexity,AverageAbsQ,LossAfter,ItrTime,AbsLearnSignal,AverageAbsQYDiff,AverageY,AverageQLoss,MeanKLBefore,dLoss,Time,EnvExecTime,MinReturn,AbsLearnSignalOld,PolicyExecTime,AverageDiscountedReturn,AverageReturn,NumTrajs,MeanKL,AveragePolicyStd
167.55677215,0.15040349960327148,24.1267,0.695000501754,43,167.529,0.49699891191,-173.3,848.384941178,109.080702559,3.00673e+10,167.58,-173.428,58.4680540561676,0.695000501754,6.44234410672,167.545677753,87.4505,0.0,0.127991,2468.1111857891083,9.331592559814453,142.61790899,0.695028325698,1.1692819595336914,247.475305034,360.80361385,66,0.00988435,1.00028
167.889149582,0.15199065208435059,24.1273,0.150976665301,44,167.858,-23.1933840495,-174.097,839.013235013,117.81541302,3.00857e+10,167.91,-174.187,59.40387773513794,0.150976665301,6.4031768798,167.874944044,87.2821,0.0,0.0900269,2527.657273054123,9.37140417098999,197.526458799,0.150990871852,1.1763660907745361,249.709539682,365.327568657,66,0.00736027,1.00032
167.897266558,0.1515810489654541,24.1267,0.316920804178,45,167.865,-3.2751295629,-177.34,618.006623159,99.5576651026,3.0068e+10,167.918,-177.447,59.32536172866821,0.316920804178,6.35351404041,167.883545689,84.6732,0.0,0.107285,2587.1231877803802,9.584587812423706,219.602646089,0.316821140584,1.198918342590332,261.519510837,387.866392002,62,0.00532502,1.00028
167.882270884,0.15224599838256836,24.1288,0.191560928408,46,167.854,-6.8662288971,-169.078,564.397392967,79.392900143,3.01297e+10,167.905,-169.189,59.97982048988342,0.191560928408,6.30735497722,167.870028615,84.0402,0.0,0.110687,2647.2417089939117,9.546128034591675,220.879615232,0.191399365194,1.2263338565826416,258.285794796,377.27381426,64,0.00978011,1.0004
167.682000961,0.15378093719482422,24.1247,0.643507580893,47,167.651,0.399881316053,-175.737,786.26501712,114.252832865,3.00078e+10,167.702,-175.859,59.35720229148865,0.643507580893,6.28427020626,167.669970485,83.5111,0.0,0.121704,2706.753205060959,9.704437494277954,158.102195902,0.643058043615,1.2046833038330078,252.052924463,370.468646877,65,0.00995734,1.00016
167.315402048,0.14874768257141113,24.123,0.35759787025,48,167.286,-1.85379292985,-165.359,663.129770806,86.7108630492,2.99575e+10,167.337,-165.464,57.53693342208862,0.35759787025,6.24299360872,167.30187994,83.1211,0.0,0.104691,2764.4315090179443,9.30418348312378,219.606432982,0.35771370484,1.1533715724945068,253.344121566,368.102805632,65,0.0095621,1.00007
167.381075354,0.14989137649536133,24.1235,0.625264961708,49,167.348,0.426092224221,-175.529,753.69481959,108.379220295,2.99714e+10,167.402,-175.635,57.01953077316284,0.625264961708,6.25809352654,167.365894919,83.1475,0.0,0.105698,2821.590273141861,9.360499858856201,195.186508916,0.625401738496,1.1658260822296143,257.585957677,381.230382142,64,0.00934168,1.00009
167.337549849,0.1500234603881836,24.1221,0.170540999259,50,167.306,-18.5373536364,-174.891,626.316117429,96.2546445386,2.99283e+10,167.363,-174.999,57.59141755104065,0.170540999259,6.26403601284,167.322991462,83.188,0.0,0.108246,2879.3215458393097,9.39769721031189,178.708070944,0.170400997495,1.166651964187622,253.707505695,370.247284249,65,0.0082894,1.00001
166.957327681,0.14831995964050293,24.1212,0.520542869092,51,166.923,0.178318079733,-170.6,670.586660497,94.7891225289,2.99009e+10,166.979,-170.7,57.46268558502197,0.520542869092,6.23593200687,166.940831651,82.703,0.0,0.100723,2936.9264986515045,9.239461898803711,190.533638856,0.520465518752,1.1379492282867432,257.726794537,378.907700066,64,0.00651352,0.999955
166.769945749,0.14806127548217773,24.1218,0.520770517493,52,166.738,-0.187409393306,-171.821,648.066631301,97.83560136,2.99188e+10,166.794,-171.935,57.39208221435547,0.520770517493,6.23050408668,166.754281854,82.4628,0.0,0.113785,2994.456747531891,9.125614166259766,189.98376517,0.520424061276,1.1242246627807617,256.437983355,378.001138293,63,0.00986528,0.999991
