MinReturn,PolicyExecTime,AverageQLoss,AbsLearnSignalOld,AverageDiscountedReturn,ProcessExecTime,LossAfter,AverageQ,AbsLearnSignalNew,StdReturn,NumTrajs,AverageY,ExplainedVariance,AverageAbsQ,Perplexity,LossBefore,Entropy,EnvExecTime,AveragePolicyStd,dLoss,Iteration,MaxReturn,AverageAbsQYDiff,Time,MeanKL,AverageAbsY,ItrTime,AverageReturn,MeanKLBefore,AbsLearnSignal
92.089164099,1.0632634162902832,112.652,0.47581286457,234.43284781,0.13837599754333496,-178.222,174.717,0.477257319199,71.0174011974,76,174.738165526,0.420600239737,174.763,2.99831e+10,-178.062,24.1239,8.896668910980225,1.00012,0.159561,23,571.887064042,7.3420050135,1297.8071999549866,0.00996938,174.748118761,54.87686061859131,325.7966345,0.0,0.477257319199
160.946126789,1.0710034370422363,110.556,0.388181465461,241.774592177,0.13752341270446777,-176.115,174.784,0.388684592536,66.7912372793,74,174.801570262,-0.162529404388,174.829,2.99996e+10,-176.018,24.1245,8.913357019424438,1.00015,0.0971069,24,635.228110092,7.27760143612,1353.3302969932556,0.00735349,174.813034314,55.39204931259155,338.385514056,0.0,0.388684592536
97.3863726761,1.0574345588684082,105.266,0.582015016334,242.524837793,0.13727474212646484,-171.089,173.811,0.582269485889,68.7145114889,73,173.829858281,0.344302354523,173.85,2.99772e+10,-170.95,24.1237,8.949932098388672,1.0001,0.138855,25,528.994363491,7.12944886096,1407.877082824707,0.00966865,173.840066893,54.42366814613342,341.018047981,0.0,0.582269485889
202.503763953,1.0747532844543457,103.302,0.193704221213,246.63866724,0.13477730751037598,-172.578,172.186,0.19381790365,74.6615234622,69,172.202184238,-7.13511560541,172.224,2.98934e+10,-172.448,24.1209,9.04884648323059,0.99994,0.129135,26,569.474835855,7.04042368352,1462.6317183971405,0.00980413,172.209507517,54.631203174591064,352.555336903,0.0,0.19381790365
175.556658606,1.0802991390228271,99.094,0.636513193657,246.924873855,0.13875699043273926,-171.485,170.899,0.636178759154,80.778365843,70,170.918429225,0.589359819075,170.937,2.98066e+10,-171.342,24.118,8.996442556381226,0.999769,0.142471,27,633.318334239,6.91840282435,1517.9583745002747,0.00990675,170.924020882,55.20276856422424,353.289764083,0.0,0.636178759154
189.590289928,1.0481970310211182,96.9458,0.64925489359,242.735787128,0.13707685470581055,-168.55,169.604,0.649583674346,69.6347845464,72,169.624066375,0.47989592869,169.638,2.97315e+10,-168.412,24.1155,8.852190494537354,0.999621,0.138153,28,592.310736674,6.84155049688,1572.4822993278503,0.00982341,169.628904487,54.400920391082764,341.939191546,0.0,0.649583674346
220.748247161,1.0535218715667725,91.0874,0.674301787736,252.039286581,0.13731169700622559,-169.894,168.835,0.674323286559,66.5437185914,70,168.856333256,0.638004390858,168.868,2.97469e+10,-169.751,24.116,8.830241680145264,0.999651,0.143341,29,535.56704981,6.68919502352,1626.8973982334137,0.00995261,168.86054925,54.29326844215393,359.095806909,0.0,0.674323286559
208.925118492,1.060112714767456,89.1278,0.542054504856,250.224978931,0.13474154472351074,-168.452,168.002,0.542141250844,67.6870338272,69,168.02026605,0.274727334333,168.029,2.97548e+10,-168.313,24.1163,8.826457500457764,0.999668,0.139008,30,555.744325938,6.57069711435,1681.3474667072296,0.00917332,168.024041083,54.32699656486511,356.711587567,0.0,0.542141250844
226.363384052,1.070749044418335,85.0836,0.513164954818,254.158781073,0.1374068260192871,-169.209,167.334,0.513934975555,66.0600018872,68,167.350019881,0.217293825995,167.365,2.97194e+10,-169.097,24.1151,8.917439222335815,0.999598,0.111862,31,554.071570392,6.43305416954,1736.8395476341248,0.00645497,167.354900861,55.371299743652344,364.978849771,0.0,0.513934975555
256.480046683,1.0662202835083008,81.4071,0.608964897739,260.080881903,0.13814687728881836,-174.534,167.293,0.609050933856,73.9953943104,65,167.312952632,0.517560222989,167.325,2.97158e+10,-174.4,24.1149,8.825434684753418,0.999591,0.133423,32,610.623976432,6.29736914752,1792.4650185108185,0.00945652,167.317365559,55.49879312515259,379.490033791,0.0,0.609050933856
220.414831414,1.0800080299377441,80.5129,0.611787579914,261.892464852,0.13680648803710938,-169.997,167.704,0.612266135826,78.735792562,66,167.719794326,0.53946168423,167.739,2.97295e+10,-169.871,24.1154,9.000988245010376,0.999618,0.126785,33,662.870106142,6.23224938452,1847.5948481559753,0.0095132,167.725297433,55.00968861579895,382.249204263,0.0,0.612266135826
185.670544009,1.086108922958374,79.5104,0.587570437361,254.689234442,0.1383810043334961,-173.799,167.837,0.587809812303,99.4853385508,67,167.853147002,0.27560938807,167.864,2.97815e+10,-173.694,24.1172,8.825736045837402,0.999721,0.104797,34,758.669484663,6.1976317918,1903.384290933609,0.00642552,167.857338314,55.66102409362793,370.160748936,0.0,0.587809812303
226.508469074,1.0673584938049316,79.1906,0.540910791474,259.922592278,0.13755154609680176,-174.103,168.205,0.541481240581,75.1873835933,67,168.221116332,0.229533513878,168.233,2.9728e+10,-173.981,24.1154,8.93831992149353,0.999616,0.12204,35,545.108819601,6.15071840441,1958.0834980010986,0.0095252,168.225471009,54.576215982437134,376.968429078,0.0,0.541481240581
235.509525194,1.0903956890106201,78.2277,0.59487009356,269.568234299,0.1392347812652588,-176.526,168.655,0.594792418032,95.6622216526,63,168.672552349,0.441967160454,168.68,2.97412e+10,-176.395,24.1158,9.048177480697632,0.999642,0.131653,36,787.161315507,6.14796781804,2012.9275364875793,0.009546,168.675627996,54.72253155708313,402.219008333,0.0,0.594792418032
159.891510558,1.065457820892334,78.2947,0.597738101068,256.765132089,0.1363668441772461,-174.901,169.504,0.597584099204,78.7239942028,68,169.519122518,0.157572879886,169.531,2.97594e+10,-174.771,24.1164,8.962047576904297,0.999678,0.130112,37,589.950717392,6.14181680309,2067.8994722366333,0.00967919,169.52249605,54.85262894630432,371.585869933,0.0,0.597584099204
222.917576956,1.0811998844146729,77.3774,0.662134312207,261.510706611,0.14012885093688965,-175.383,170.015,0.662842757105,73.5384828137,66,170.031061626,0.472430864262,170.042,2.97652e+10,-175.254,24.1166,9.21544361114502,0.999689,0.128372,38,627.928420725,6.08768375638,2123.2708728313446,0.00979089,170.033795677,55.250020027160645,381.170681469,0.0,0.662842757105
155.67102419,1.063816785812378,79.3524,0.363860737629,264.211496143,0.13861703872680664,-179.625,170.525,0.363929611551,101.486866026,64,170.540298944,-1.08522526678,170.554,2.96808e+10,-179.379,24.1138,8.953914403915405,0.999522,0.245255,39,656.173530484,6.12965445899,2178.1381709575653,0.00799388,170.544841204,54.74479603767395,391.875114128,0.0,0.363929611551
229.395018827,1.0604655742645264,78.1588,0.702103411154,254.685692864,0.13658452033996582,-179.058,171.042,0.70254036816,62.6858192952,69,171.056123749,0.517320620466,171.072,2.97629e+10,-178.929,24.1165,9.020647287368774,0.999685,0.129379,40,575.248814552,6.12497358833,2233.090986728668,0.00999084,171.059645385,54.83575940132141,364.864318939,0.0,0.70254036816
180.621852981,1.0670433044433594,76.7874,0.614315136696,251.232750933,0.13544154167175293,-177.224,171.531,0.614811626951,79.8080292792,69,171.544840407,0.4111582716,171.562,2.97966e+10,-177.112,24.1177,9.038594722747803,0.999752,0.111588,41,558.478193576,6.06491341882,2288.125806570053,0.00953096,171.550974422,54.911535024642944,360.045590283,0.0,0.614811626951
206.310953636,1.0765893459320068,78.206,0.385327143142,265.211013857,0.13540887832641602,-178.825,171.773,0.385625498965,86.8272589161,64,171.78607288,-0.462845987039,171.803,2.97895e+10,-178.666,24.1174,9.103251934051514,0.999738,0.159058,42,676.495626789,6.09329733858,2343.390941619873,0.00838942,171.790970228,55.14063310623169,390.527779321,0.0,0.385625498965
196.022207263,1.0552492141723633,77.9093,0.47180879397,252.625193186,0.136582612991333,-176.41,172.294,0.472265000513,71.4164445066,70,172.307361533,-0.00706919683975,172.325,2.97962e+10,-176.297,24.1176,9.007174015045166,0.999752,0.113586,43,612.227383958,6.08265820974,2398.1373467445374,0.00921642,172.3131126,54.62782335281372,359.81209303,0.0,0.472265000513
