EnvExecTime,AverageDiscountedReturn,AverageQLoss,ProcessExecTime,LossAfter,MinReturn,AbsLearnSignalOld,Time,AverageY,Iteration,Perplexity,AverageQ,AbsLearnSignal,AbsLearnSignalNew,StdReturn,Entropy,PolicyExecTime,AverageAbsQ,MeanKL,MeanKLBefore,ItrTime,NumTrajs,dLoss,AveragePolicyStd,AverageAbsY,MaxReturn,ExplainedVariance,LossBefore,AverageReturn,AverageAbsQYDiff
9.799623250961304,268.869393913,107.676,0.14072608947753906,-187.367,217.219861889,0.500994355176,8840.546802282333,186.871131832,131,3.04763e+10,186.86,0.500861411307,0.500861411307,81.2377360856,24.1402,1.2101550102233887,186.967,0.00643582,0.0,69.76212573051453,66,0.0855865,1.0011,186.913763367,632.068191096,-0.0257191739315,-187.281,393.884356851,6.89481904317
10.242548704147339,270.696998802,112.728,0.14731240272521973,-194.513,246.181109117,0.401676152977,8910.526587247849,187.33641545,132,3.04748e+10,187.325,0.401892615083,0.401892615083,83.7662550008,24.1402,1.2672228813171387,187.425,0.00651738,0.0,69.83650398254395,65,0.0975494,1.0011,187.381716059,701.851623173,-0.118304536746,-194.415,397.936713327,7.00914682148
10.003162860870361,273.364894127,108.928,0.14264535903930664,-188.797,186.85225784,0.661460765292,8980.457771062851,186.971221981,133,3.05047e+10,186.963,0.661498763509,0.661498763509,81.1511417117,24.1411,1.244168758392334,187.067,0.0095993,0.0,69.79718160629272,66,0.100739,1.00116,187.013546098,622.704942114,0.544549346371,-188.696,401.530194564,6.91226302964
10.412323951721191,272.647291088,110.337,0.14716792106628418,-186.666,186.376684818,0.595416393471,9048.955084085464,187.060442265,134,3.04823e+10,187.049,0.595353137032,0.595353137032,93.9850867411,24.1404,1.2997658252716064,187.151,0.00944776,0.0,68.36014556884766,65,0.104141,1.00111,187.105275346,606.080978893,0.509917874275,-186.562,403.06023404,6.94478604183
10.167100429534912,270.275915599,109.638,0.14407849311828613,-189.453,214.251211657,0.505760915533,9117.589917421341,186.767582574,135,3.04698e+10,186.757,0.506117466415,0.506117466415,97.4851654865,24.14,1.2790851593017578,186.858,0.0097823,0.0,68.50377130508423,64,0.0970459,1.00109,186.812572441,657.031928987,0.13169075892,-189.356,400.101682437,6.96025022507
10.451936483383179,281.019074498,107.244,0.14582490921020508,-191.847,290.088686157,0.404938788783,9186.546541929245,187.222360104,136,3.04566e+10,187.212,0.404711006222,0.404711006222,72.4629064162,24.1396,1.3245820999145508,187.312,0.00762435,0.0,68.820885181427,63,0.106033,1.00106,187.263196255,611.325893888,0.0539572502022,-191.741,417.508343862,6.93320088715
10.158926963806152,263.813972339,113.852,0.14327621459960938,-191.364,231.244144012,0.164647033961,9255.867496490479,186.840801276,137,3.03454e+10,186.831,0.164601261372,0.164601261372,76.8149139176,24.1359,1.3179633617401123,186.933,0.00425127,0.0,69.19649529457092,67,0.0779877,1.00085,186.888322486,563.433648591,-13.2779174051,-191.286,382.778704152,6.96839631791
10.285283327102661,272.371822661,109.187,0.14438295364379883,-190.823,231.310472259,0.576231526395,9324.83853340149,186.395294261,138,3.02542e+10,186.385,0.575741233174,0.575741233174,73.0123916164,24.1329,1.3310387134552002,186.486,0.00746515,0.0,68.84621047973633,65,0.0958862,1.00067,186.443108415,541.870573397,0.514867657636,-190.727,399.431361485,6.91221467934
10.080727815628052,265.121954759,104.465,0.1443462371826172,-190.429,234.837888347,0.518939348,9394.110172986984,186.409783989,139,3.01966e+10,186.4,0.519005109568,0.519005109568,92.4305133719,24.131,1.2961297035217285,186.497,0.00884531,0.0,69.14734435081482,67,0.12532,1.00056,186.455467502,678.387063146,0.178407525998,-190.303,387.091568112,6.84093686623
10.22341012954712,272.479196427,109.014,0.14509105682373047,-193.003,239.365756562,0.138446175958,9463.052614450455,186.58179345,140,3.0271e+10,186.57,0.138475227236,0.138475227236,83.7492736216,24.1335,1.31856369972229,186.661,0.00849672,0.0,68.79697966575623,64,0.0895844,1.0007,186.61985612,616.146597875,-48.9043754858,-192.913,402.704024478,6.90627391768
9.88848614692688,259.707447168,107.464,0.14161372184753418,-188.745,182.560426926,0.135758809855,9531.216158628464,186.515251836,141,3.03914e+10,186.505,0.135842632574,0.135842632574,99.3274056097,24.1374,1.238079309463501,186.597,0.00419683,0.0,68.04174137115479,69,0.0802002,1.00094,186.5545752,613.044596338,-34.6084166224,-188.664,377.674541086,6.87744359854
10.11600136756897,280.021099745,108.777,0.1433854103088379,-186.631,239.119130585,0.663650793413,9599.443324565887,185.545074562,142,3.04038e+10,185.536,0.664220503621,0.664220503621,76.0197068928,24.1378,1.2688939571380615,185.632,0.00986869,0.0,68.10467171669006,63,0.105453,1.00096,185.589638669,628.324240659,0.517131113205,-186.526,416.540194381,6.83032446958
10.036684513092041,277.376796649,112.529,0.14203286170959473,-190.826,252.018574422,0.120878842068,9667.457859277725,185.082119401,143,3.03802e+10,185.071,0.121012155994,0.121012155994,84.7710518001,24.1371,1.2706263065338135,185.164,0.00771901,0.0,67.89132952690125,64,0.0909119,1.00092,185.125114634,704.001203344,-33.2381001569,-190.736,412.183472837,6.86595937866
10.018370389938354,267.507760169,106.969,0.14330744743347168,-186.67,212.224611646,0.259731322744,9736.650175333023,184.466314075,144,3.04359e+10,184.455,0.259800505982,0.259800505982,86.2399316637,24.1389,1.2598531246185303,184.552,0.00322395,0.0,69.06092524528503,67,0.116089,1.00103,184.510597253,641.25840736,-5.35528625179,-186.554,390.130904798,6.78041026388
10.252577304840088,275.689347533,109.029,0.14254188537597656,-192.218,243.155163355,0.159343085371,9805.948295354843,183.835517018,145,3.03851e+10,183.824,0.159363712108,0.159363712108,96.6925805012,24.1372,1.2804045677185059,183.929,0.00936269,0.0,69.16489768028259,63,0.119476,1.00093,183.884173798,742.627943188,-70.2028074317,-192.098,411.348550017,6.79506840949
10.280201435089111,282.442588309,101.664,0.14211487770080566,-191.465,224.840659921,0.497805824961,9874.871709823608,183.60946867,146,3.03163e+10,183.599,0.498194573946,0.498194573946,89.5059920825,24.135,1.275160551071167,183.689,0.00841519,0.0,68.78459429740906,61,0.0895081,1.00079,183.645368918,720.572501861,-0.0845025611255,-191.375,425.143435622,6.67296054401
10.326022863388062,275.0036818,103.582,0.1439976692199707,-185.627,254.070183598,0.45707325785,9943.343332529068,183.388377531,147,3.0198e+10,183.377,0.456941992466,0.456941992466,81.4170020376,24.131,1.294853925704956,183.455,0.00683118,0.0,68.34269762039185,65,0.0839233,1.00056,183.41833403,633.042841603,0.160495647162,-185.543,405.505220279,6.7021510306
10.139802694320679,270.614088702,102.795,0.1472625732421875,-186.018,200.189028235,0.331132056746,10011.704894542694,183.424137822,148,3.0177e+10,183.413,0.331127718226,0.331127718226,89.1955096835,24.1303,1.2576673030853271,183.483,0.0093238,0.0,68.2237024307251,67,0.0853577,1.00052,183.450545469,672.760213703,-0.849431635479,-185.933,395.833869307,6.65995214403
10.88794493675232,285.604087097,102.625,0.15200519561767578,-185.618,251.726651821,0.507625512688,10081.602320671082,183.503374446,149,3.02366e+10,183.493,0.507834722156,0.507834722156,89.9779343555,24.1323,1.374115228652954,183.556,0.00757874,0.0,69.77684807777405,61,0.0984955,1.00064,183.525916269,738.803395687,-0.247640537201,-185.519,431.269018109,6.65127767007
10.417522430419922,278.631508049,104.849,0.14664220809936523,-190.58,249.213366359,0.174548922986,10151.269171237946,183.865530594,150,3.02751e+10,183.851,0.174596492849,0.174596492849,79.5078152501,24.1336,1.2958550453186035,183.911,0.00971624,0.0,69.52988767623901,64,0.0734406,1.00071,183.886738494,626.311751279,-7.57318120062,-190.506,413.103423499,6.70296200693
10.42419958114624,283.073259272,105.345,0.14708423614501953,-191.698,243.697819223,0.180488890747,10219.029667854309,184.754666601,151,3.0291e+10,184.746,0.180515399517,0.180515399517,91.4121521726,24.1341,1.3059744834899902,184.809,0.00699208,0.0,67.62037944793701,63,0.0805359,1.00074,184.78013621,626.814417743,-36.8750390491,-191.618,423.769239851,6.656160661
10.371011018753052,282.019080348,105.983,0.14516210556030273,-187.88,275.314926372,0.564159957837,10286.07846069336,184.76921548,152,3.02108e+10,184.759,0.564219164132,0.564219164132,79.3245359336,24.1315,1.2827701568603516,184.827,0.00967111,0.0,66.92019486427307,63,0.104889,1.00059,184.792428437,594.206545397,0.341081701572,-187.775,419.870039657,6.63960889104
10.394535303115845,271.190286171,101.67,0.14529037475585938,-191.669,225.766513314,0.165883087383,10353.68247795105,184.815957973,153,3.02023e+10,184.807,0.165851550639,0.165851550639,83.4313557674,24.1312,1.2967562675476074,184.88,0.00615716,0.0,67.4773051738739,67,0.0697021,1.00057,184.843312285,679.083893405,-43.8101499561,-191.599,396.606929938,6.57091076358
