AveragePolicyStd,LossAfter,ProcessExecTime,AbsLearnSignal,NumTrajs,AbsLearnSignalNew,PolicyExecTime,EnvExecTime,AverageQ,Time,ExplainedVariance,AverageAbsQYDiff,MeanKL,MinReturn,ItrTime,dLoss,Entropy,Perplexity,LossBefore,AverageY,MeanKLBefore,AbsLearnSignalOld,AverageAbsY,AverageAbsQ,StdReturn,MaxReturn,AverageReturn,Iteration,AverageQLoss,AverageDiscountedReturn
1.00041,-160.675,0.14417171478271484,0.534118384392,82,0.534118384392,1.050584316253662,8.104203462600708,159.669,1143.219070672989,-0.0728183292552,6.61134089384,0.00984779,101.171318112,54.23910450935364,0.165894,24.129,3.0135e+10,-160.509,159.692674802,0.0,0.534111953027,159.697817065,159.706,91.4999579148,595.38034865,306.197343782,20,94.969,223.125028037
1.00037,-157.097,0.14856815338134766,0.396536152347,89,0.396536152347,1.0837645530700684,8.327946901321411,160.397,1198.7597026824951,-0.756727216995,6.65902760071,0.00925031,103.685300737,55.41422915458679,0.169266,24.1283,3.01148e+10,-156.927,160.418367782,0.0,0.396234040192,160.423368128,160.435,73.5572763478,746.849214726,285.904235467,21,95.8149,214.055883636
1.0004,-165.415,0.14860844612121582,0.620989117815,79,0.620989117815,1.0763921737670898,8.300082445144653,161.081,1254.1877377033234,-0.0353733468125,6.65047183249,0.00992984,106.480335009,55.301289558410645,0.177109,24.1286,3.01254e+10,-165.238,161.103875012,0.0,0.621137663681,161.108921548,161.117,126.979782555,1016.11023301,321.82000409,22,95.7976,228.826208151
1.00046,-160.593,0.14563751220703125,0.1292215672,80,0.1292215672,1.06809663772583,8.187746047973633,161.392,1309.1955959796906,-82.9203280456,6.55834671565,0.00991381,191.712005408,54.883092641830444,0.175674,24.1298,3.01595e+10,-160.417,161.415132587,0.0,0.129189800344,161.419521957,161.43,85.0556242883,602.897165992,317.946980262,23,93.1344,230.519217671
1.00049,-159.774,0.1461925506591797,0.598166322083,80,0.598166322083,1.0910964012145996,8.309216022491455,161.412,1363.721031665802,0.277889212561,6.55520718725,0.00922121,121.375067473,54.403151512145996,0.138657,24.1303,3.01759e+10,-159.635,161.43260519,0.0,0.597724213228,161.437098972,161.447,70.5849854984,501.662115096,311.808633738,24,91.8528,227.893118627
1.00023,-166.931,0.14555764198303223,0.54652555726,78,0.54652555726,1.0863409042358398,8.075688362121582,161.458,1418.244794845581,-0.31714354813,6.47553712601,0.00986368,102.072742329,54.4059419631958,0.159958,24.1258,3.00414e+10,-166.772,161.478667682,0.0,0.545277707871,161.485070245,161.497,80.3665867689,580.889013453,324.156495172,25,89.17,233.23087938
1.0003,-163.627,0.14455389976501465,0.659736810213,79,0.659736810213,1.054633378982544,8.110584259033203,161.626,1472.3846542835236,0.422228515833,6.54609811399,0.00981456,163.910016098,54.015745878219604,0.137482,24.127,3.00775e+10,-163.49,161.644194079,0.0,0.659574176792,161.649515666,161.662,72.5877399434,570.131602539,317.721871085,26,91.6353,230.844001299
1.00035,-172.57,0.14664721488952637,0.0947519385223,79,0.0947519385223,1.1228342056274414,8.11046314239502,161.691,1527.1735005378723,-1750.52534549,6.52575141407,0.00929579,119.254944243,54.665807247161865,0.116058,24.1279,3.01024e+10,-172.454,161.710306507,0.0,0.0947704367134,161.714980809,161.722,96.3850705567,618.666350024,316.204903532,27,90.1306,227.704625364
1.00037,-165.42,0.14495420455932617,0.676050731822,81,0.676050731822,1.0917906761169434,8.175937175750732,161.684,1581.1966173648834,0.2608932055,6.54628570444,0.00955251,173.132128512,53.894508838653564,0.133453,24.1282,3.0111e+10,-165.286,161.701448166,0.0,0.675500370301,161.705977943,161.718,74.6299758926,581.087730387,312.537631518,28,90.403,227.91179333
1.00012,-171.081,0.14366817474365234,0.631052083746,77,0.631052083746,1.0363764762878418,7.971904516220093,161.373,1635.7503912448883,0.131913889899,6.53579355989,0.00981412,181.151195167,54.42295718193054,0.137131,24.1239,2.99827e+10,-170.944,161.389301159,0.0,0.630735554488,161.398302473,161.408,70.0746984341,507.901712933,318.731842809,29,89.0411,231.025742223
