AverageDiscountedReturn,PolicyExecTime,Perplexity,AveragePolicyStd,AbsLearnSignalNew,NumTrajs,AverageQLoss,AverageY,AverageAbsQYDiff,dLoss,AbsLearnSignalOld,ProcessExecTime,ItrTime,Entropy,EnvExecTime,MaxReturn,AverageAbsY,ExplainedVariance,AverageReturn,LossAfter,AverageQ,MinReturn,Time,StdReturn,AverageAbsQ,MeanKLBefore,AbsLearnSignal,LossBefore,Iteration,MeanKL
181.893748725,0.8060529232025146,1830.93,0.858389,0.59064786633,5,104.771,291.376300616,3.35220563722,0.0523987,0.589334569484,0.1048583984375,38.34647846221924,7.51258,1.6836071014404297,2735.48462834,291.661652402,0.798632906748,2231.63408065,-263.523,291.369,442.812310988,11539.268010616302,895.446561587,291.653,0.0,0.59064786633,-263.471,307,0.00661866
179.791794318,0.7921497821807861,1837.09,0.858884,0.751438762297,5,104.772,291.783328913,3.35331315426,0.02948,0.751638275455,0.09383749961853027,38.65050745010376,7.51594,1.6934943199157715,2784.31267066,292.0661002,0.75153840316,2571.25972742,-313.93,291.777,2389.37238903,11578.03399515152,135.385809395,292.058,0.0,0.751438762297,-313.9,308,0.00646573
173.841410999,0.8128871917724609,1833.21,0.858694,0.674712109646,5,95.8536,291.581030705,3.34501807511,0.0606995,0.674525950586,0.09580397605895996,38.573429107666016,7.51382,1.714294195175171,2719.03161778,291.871937492,0.770600444771,2270.92897137,-272.682,291.575,868.561491137,11616.769311666489,709.827347616,291.864,0.0,0.674712109646,-272.621,309,0.00983691
176.444204323,0.8008568286895752,1826.75,0.858249,0.708737247129,5,104.215,291.721887602,3.35669586365,0.0413513,0.70860071102,0.11055397987365723,38.373552322387695,7.51029,1.7025556564331055,2748.46962968,292.019370259,0.744981436079,2516.98227583,-302.505,291.715,2076.64550054,11655.268722295761,233.133418284,292.011,0.0,0.708737247129,-302.464,310,0.00976249
212.120451571,0.8010103702545166,1825.47,0.858262,0.755077286715,5,104.53,291.497579277,3.34762180242,0.0331116,0.755249709682,0.0928804874420166,38.52148222923279,7.50959,1.6936235427856445,2768.75910118,291.792256849,0.742869293542,2352.15031484,-276.114,291.493,1037.84896056,11693.900954723358,661.511478075,291.786,0.0,0.755077286715,-276.081,311,0.00653453
219.139559008,0.8304991722106934,1821.34,0.857945,0.769364076274,5,98.0558,291.356894524,3.29105705306,0.0355225,0.770285265475,0.09698224067687988,38.60188055038452,7.50733,1.7023365497589111,2650.87514635,291.639139191,0.666993702882,2522.79506964,-310.724,291.352,2423.97605626,11732.616903543472,76.5044427889,291.633,0.0,0.769364076274,-310.688,312,0.0065457
196.063459221,0.7868876457214355,1815.83,0.857583,0.604190504841,5,105.399,291.848993728,3.33017579772,0.0404968,0.603788986633,0.09162497520446777,38.347360372543335,7.5043,1.678689956665039,2688.78574447,292.110408627,0.626273753743,2497.97599755,-300.544,291.842,2021.6213812,11771.089171886444,242.798204268,292.103,0.0,0.604190504841,-300.504,313,0.00989207
185.840137593,0.8148858547210693,1811.22,0.857375,0.766802899837,5,98.1539,291.580101933,3.31346088231,0.0924988,0.767575167991,0.10375785827636719,38.49930381774902,7.50175,1.7079298496246338,2778.8136694,291.850796425,0.729867957823,2138.41786284,-269.702,291.575,924.539910196,11809.696997404099,638.998881923,291.843,0.0,0.766802899837,-269.609,314,0.00969189
204.246857479,0.8144316673278809,1811.65,0.857434,0.718200987373,5,105.045,291.616525404,3.34004578416,0.0274658,0.718506382123,0.09073781967163086,38.344350814819336,7.50199,1.6710686683654785,2902.54278425,291.885771825,0.73049421003,2654.64014018,-315.687,291.609,2345.70260688,11848.161878347397,194.864408421,291.877,0.0,0.718200987373,-315.66,315,0.00699285
191.756235831,0.8179655075073242,1811.67,0.857516,0.790481937094,5,97.412,291.803880009,3.29662248741,0.033844,0.791528900635,0.09062457084655762,38.34100008010864,7.502,1.704148769378662,2674.03290765,292.063421937,0.836490808087,2499.49992419,-313.423,291.798,2371.31573463,11886.623357772827,101.151790331,292.055,0.0,0.790481937094,-313.389,316,0.00947983
184.97489632,0.8055586814880371,1807.48,0.857341,0.706993479305,5,101.138,292.090628127,3.35101526382,0.0421448,0.706350146322,0.09280610084533691,38.336005210876465,7.49969,1.6937570571899414,2896.43769045,292.349916969,0.798846733678,2480.92073905,-303.281,292.084,2109.74956288,11925.077997922897,252.092831069,292.34,0.0,0.706993479305,-303.239,317,0.00964713
221.545028205,0.8008179664611816,1805.43,0.857189,0.780012860768,5,96.0593,292.382848868,3.29689654736,0.03125,0.779561852517,0.09101581573486328,38.31143236160278,7.49855,1.6927490234375,2937.16423403,292.636957365,0.722823358922,2708.49229073,-317.44,292.377,2387.65283202,11963.498885393143,187.290065726,292.627,0.0,0.780012860768,-317.408,318,0.00643477
205.461968403,0.8041155338287354,1812.72,0.857904,0.574630301103,5,106.213,291.843749104,3.31327840894,0.0385742,0.574309013636,0.09455752372741699,38.435070753097534,7.50258,1.691359043121338,2730.94369028,292.1015867,0.532756992511,2317.55576428,-275.798,291.838,1214.64314582,12002.048171520233,561.605554607,292.095,0.0,0.574630301103,-275.76,319,0.0064303
186.569554046,0.7977161407470703,1815.53,0.858192,0.693146200404,5,101.141,291.494697803,3.31878172695,0.0321045,0.692208860755,0.09227490425109863,38.340954065322876,7.50413,1.6856355667114258,2593.3066442,291.748461983,0.726205223988,2442.63727858,-306.221,291.488,2288.98055893,12040.502581357956,111.761718134,291.74,0.0,0.693146200404,-306.189,320,0.00962992
205.061794881,0.8071892261505127,1804.89,0.857452,0.762872302916,5,107.755,291.605546505,3.35436377545,0.0305786,0.763625158701,0.09233450889587402,38.454397201538086,7.49826,1.694140911102295,2809.05432494,291.859435914,0.860610233555,2722.23937147,-316.867,291.6,2636.74854734,12079.075834274292,70.698008846,291.852,0.0,0.762872302916,-316.837,321,0.00666688
210.176524593,0.8193178176879883,1798.48,0.856992,0.766626645591,5,98.5737,291.389164262,3.28010567499,0.0275269,0.765967375476,0.09357595443725586,38.4829740524292,7.4947,1.6979691982269287,2804.57083331,291.643229344,0.791013098166,2687.46913649,-315.835,291.384,2488.91343246,12117.681803703308,113.068821405,291.635,0.0,0.766626645591,-315.807,322,0.00645776
190.111040955,0.8197095394134521,1794.58,0.856775,0.758743556187,5,98.6281,291.498883513,3.28564778777,0.0334167,0.757120009267,0.1136934757232666,38.39892029762268,7.49253,1.7024059295654297,2836.9773273,291.746562536,0.819515572251,2674.14252995,-316.266,291.493,2502.73738169,12156.25085568428,134.258951621,291.738,0.0,0.758743556187,-316.232,323,0.00657446
216.737813892,0.8069849014282227,1787.98,0.856327,0.781202172773,5,115.585,291.247993392,3.35912836513,0.0350647,0.781584894957,0.09160304069519043,38.369473457336426,7.48884,1.695943832397461,2985.85908531,291.486823144,0.776355084872,2795.12015887,-317.915,291.243,2433.56633573,12194.73295712471,196.464215231,291.48,0.0,0.781202172773,-317.88,324,0.00909086
211.81274239,0.7933197021484375,1789.48,0.856556,0.772855814962,5,109.774,291.12348956,3.27406928126,0.0442505,0.773501596385,0.08963203430175781,38.292582511901855,7.48968,1.676570177078247,2642.99554879,291.358995899,0.825726550985,2595.51920214,-312.302,291.116,2528.99131812,12233.188692092896,42.4719666811,291.35,0.0,0.772855814962,-312.258,325,0.00674973
189.457682857,0.8044404983520508,1784.35,0.856179,0.721430597541,5,93.5464,290.642785838,3.23546914667,0.0276794,0.721015097516,0.11883306503295898,38.34643244743347,7.48681,1.6951329708099365,2696.08189424,290.885489385,0.805612215619,2086.12011724,-253.59,290.638,256.832751054,12271.653408288956,919.533337533,290.877,0.0,0.721430597541,-253.562,326,0.00995923
204.474573002,0.7995736598968506,1782.26,0.856078,0.704483219427,5,109.171,290.302097813,3.32759181867,0.02948,0.703671810597,0.09481549263000488,38.30867648124695,7.48564,1.6868422031402588,2717.86076063,290.541175271,0.835061177495,2330.60397078,-275.8,290.297,1304.06295942,12310.080778360367,526.389791654,290.533,0.0,0.704483219427,-275.771,327,0.00982946
180.757712239,0.8173112869262695,1777.69,0.855749,0.702507293387,5,98.8226,290.125196598,3.27357044199,0.0370483,0.701999035986,0.09389257431030273,38.37498736381531,7.48307,1.7121987342834473,2645.1739211,290.364484507,0.873444560635,2145.05712358,-253.747,290.121,284.118124567,12348.572707176208,930.993025578,290.356,0.0,0.702507293387,-253.709,328,0.00659886
196.779055422,0.8128597736358643,1775.45,0.855652,0.696981636477,5,95.7402,290.03977613,3.23661343871,0.0305176,0.694190326054,0.10495328903198242,38.15141487121582,7.48181,1.7007524967193604,2768.3788362,290.283256436,0.756786470212,2706.86795084,-315.025,290.033,2634.42927776,12386.841487646103,44.7952224175,290.274,0.0,0.696981636477,-314.994,329,0.00970387
225.416610933,0.807490348815918,1767.09,0.855035,0.786268723203,5,95.4825,290.496968898,3.23205050207,0.0289612,0.787468615859,0.10923051834106445,38.435792446136475,7.47709,1.693349838256836,2900.88667838,290.733964022,0.844965461673,2753.15229603,-316.245,290.492,2644.74277762,12425.396964073181,93.4318450218,290.727,0.0,0.786268723203,-316.216,330,0.00647609
185.946262389,0.8113446235656738,1766.14,0.855039,0.773758606018,5,105.085,290.340129713,3.30459552028,0.0249329,0.7743485056,0.09654927253723145,38.57873010635376,7.47655,1.7136192321777344,2648.55118319,290.581793208,0.801487001121,2499.81806613,-309.596,290.334,2375.88905242,12464.130984544754,90.6730217769,290.573,0.0,0.773758606018,-309.571,331,0.0094232
185.469689151,0.7999768257141113,1762.46,0.854891,0.7584594995,5,106.73,290.435798698,3.30886267545,0.0422668,0.757985802415,0.10275673866271973,38.455965518951416,7.47447,1.6908981800079346,2674.56010021,290.671036316,0.764427760834,2582.1710371,-311.983,290.43,2473.05962969,12502.705117940903,67.6585412813,290.662,0.0,0.7584594995,-311.94,332,0.00652414
205.028301942,0.8382201194763184,1760.39,0.854774,0.755781102263,5,107.016,290.479919181,3.3298948213,0.0241089,0.755588472729,0.10074305534362793,38.24311947822571,7.47329,1.6903083324432373,2908.82028742,290.71594948,0.758490137503,2592.92180292,-309.47,290.475,2398.81632458,12541.068330287933,176.985733679,290.71,0.0,0.755781102263,-309.446,333,0.00649589
199.442976044,0.8474881649017334,1754.9,0.854421,0.788572997634,5,108.693,290.891123498,3.28900043968,0.0495911,0.789093125554,0.09591007232666016,38.39790487289429,7.47016,1.7170116901397705,2479.61173817,291.129762286,0.67727059247,2391.74966583,-308.456,290.885,2303.80530975,12579.580475568771,65.4929852359,291.121,0.0,0.788572997634,-308.407,334,0.00990263
197.726948553,0.8254966735839844,1750.94,0.854139,0.629673607555,5,106.658,290.889383658,3.28235857905,0.0432434,0.628008628897,0.09368610382080078,38.13412165641785,7.46791,1.6915318965911865,2676.09606967,291.131545124,0.717720439176,2368.43311614,-288.126,290.883,1707.59868159,12617.824461460114,344.118461273,291.122,0.0,0.629673607555,-288.083,335,0.00641708
192.690795881,0.8351948261260986,1754.8,0.85455,0.766702619179,5,103.857,291.131394586,3.29975160973,0.031311,0.766143042824,0.09537100791931152,38.18352127075195,7.47011,1.696424961090088,3009.20006991,291.376880824,0.700315597982,2602.92692214,-312.523,291.126,2411.86185564,12656.123052597046,227.464754414,291.369,0.0,0.766702619179,-312.492,336,0.00655947
218.176771022,0.8481314182281494,1748.94,0.854076,0.762947495419,5,103.215,291.319266727,3.31817690829,0.0354004,0.761811294576,0.09859681129455566,38.574087619781494,7.46676,1.692511796951294,2881.89724637,291.561583419,0.771581560646,2698.80146347,-315.485,291.313,2574.61263281,12694.81171822548,115.299082175,291.553,0.0,0.762947495419,-315.45,337,0.00653822
211.088671455,0.8154189586639404,1749.22,0.85418,0.787372359134,5,103.489,291.703339054,3.32784903172,0.03479,0.788445491477,0.10606145858764648,38.533939599990845,7.46692,1.7157578468322754,2615.2979827,291.933273734,0.758130482141,2574.86035517,-312.88,291.697,2545.74992168,12733.503556728363,25.4244221444,291.924,0.0,0.787372359134,-312.846,338,0.00985311
211.722025095,0.8279192447662354,1744.98,0.853915,0.639970484742,5,98.0544,292.190929582,3.31331458127,0.0299072,0.639850119732,0.10780096054077148,38.174694299697876,7.4645,1.6817686557769775,2804.72666048,292.420518988,0.736619329517,2497.51929626,-293.544,292.185,1775.06449324,12771.790596485138,377.914089792,292.412,0.0,0.639970484742,-293.515,339,0.0065129
210.726027011,0.8143987655639648,1745.08,0.853971,0.727913792175,5,113.044,291.933945568,3.378753301,0.0330505,0.727705936458,0.09572958946228027,38.21690320968628,7.46455,1.6831891536712646,2951.80431339,292.173805901,0.833585175083,2479.6336003,-281.885,291.927,1314.1993272,12810.125269889832,595.216749619,292.165,0.0,0.727913792175,-281.852,340,0.00642909
