NumTrajs,LossBefore,Perplexity,Time,AverageQ,AbsLearnSignal,MinReturn,StdReturn,PolicyExecTime,AveragePolicyStd,AverageReturn,AverageAbsQ,Iteration,ExplainedVariance,AverageQLoss,AverageAbsQYDiff,ProcessExecTime,AbsLearnSignalOld,AverageAbsY,EnvExecTime,MaxReturn,AverageY,AverageDiscountedReturn,MeanKL,LossAfter,Entropy,MeanKLBefore,AbsLearnSignalNew,dLoss,ItrTime
61,-197.869,2.98154e+10,9382.465426445007,174.173,0.336299500375,177.757490116,99.5156247624,1.18241286277771,0.999794,409.979303223,176.661,173,-3.17442341804,471.592,9.85474025954,0.143965482711792,0.336107913445,177.591326778,10.399589776992798,808.951502911,174.227640334,271.728082772,0.00642692,-197.97,24.1183,0.0,0.336299500375,0.1008,59.2611141204834
66,-199.406,2.97779e+10,9441.729968070984,175.295,0.319198656239,246.034194632,97.6837906873,1.120985507965088,0.999719,382.56325091,176.653,174,-0.997503148084,385.149,9.37118849367,0.13942384719848633,0.319110280258,177.289918426,9.977401971817017,932.179079208,175.351342377,260.569132545,0.00606925,-199.515,24.117,0.0,0.319198656239,0.10997,59.133246660232544
66,-195.994,2.97309e+10,9500.382873535156,175.11,0.394092870754,222.57562795,88.5241022074,1.158207893371582,0.999627,378.324183847,175.783,175,-0.98449733222,316.204,8.83796831989,0.142655611038208,0.393070615864,176.213383873,10.187174320220947,666.663574063,175.157552497,258.664349174,0.00925031,-196.084,24.1155,0.0,0.394092870754,0.0900269,58.5171844959259
65,-197.412,2.97413e+10,9558.282292366028,175.491,0.632926867861,205.729558608,78.625614156,1.112295150756836,0.999647,388.722027032,175.813,176,0.565682702491,260.037,8.41687609827,0.13982200622558594,0.632882999832,176.07167476,9.887137174606323,586.517782616,175.534404187,264.26774679,0.00988296,-197.525,24.1158,0.0,0.632926867861,0.113022,57.7652690410614
65,-187.865,2.97373e+10,9617.621785640717,175.99,0.670229533663,219.44283885,72.2165395036,1.1513426303863525,0.999639,377.28802553,176.183,177,0.625492776809,251.092,8.36994071953,0.14086461067199707,0.669961838781,176.414404562,9.949688911437988,542.899477714,176.031261308,258.743788082,0.00984097,-187.98,24.1157,0.0,0.670229533663,0.115204,59.19703149795532
64,-196.815,2.97004e+10,9679.958683490753,175.816,0.677404648731,214.270288955,93.7880086918,1.2391490936279297,0.999567,388.727679863,175.975,178,0.516196111421,244.892,8.50149836997,0.15455055236816406,0.677740290402,176.15515101,10.095964431762695,635.377696862,175.858042758,262.392625306,0.00980802,-196.93,24.1144,0.0,0.677404648731,0.115494,62.189265966415405
62,-198.87,2.9709e+10,9739.44519686699,176.09,0.588573128357,241.473094329,92.5756211307,1.2103502750396729,0.999583,402.363931568,176.231,179,0.254889555095,232.68,8.63538224258,0.16026949882507324,0.588131758936,176.361403986,9.89067816734314,776.957679839,176.138533588,269.187550462,0.00975177,-198.989,24.1147,0.0,0.588573128357,0.118927,59.3149197101593
65,-194.035,2.97301e+10,9799.458192825317,176.739,0.468353571289,235.655980593,79.4556562871,1.1475107669830322,0.999625,382.224176718,176.903,180,-0.0657845346988,231.527,8.83403203538,0.14304471015930176,0.468628343603,176.985831405,10.016478538513184,677.627946422,176.780866981,260.919945234,0.0092602,-194.154,24.1154,0.0,0.468353571289,0.118683,59.839648485183716
59,-197.145,2.97245e+10,9858.747071266174,177.186,0.329663355309,254.222151575,92.0112691882,1.1224970817565918,0.999615,420.960476129,177.362,181,-1.71563870077,266.631,9.37133940491,0.13889050483703613,0.329394449487,177.442925149,9.83696699142456,700.600631441,177.227711472,277.287763544,0.00966642,-197.292,24.1152,0.0,0.329663355309,0.146698,59.13327479362488
60,-191.901,2.96903e+10,9918.060826778412,179.549,0.499212277375,259.342927204,87.5655840095,1.1284959316253662,0.999546,409.500919614,179.739,182,0.295820843463,397.371,10.5298859045,0.1377885341644287,0.498541022137,179.858426794,10.115994691848755,626.003929117,179.599919387,271.843428365,0.00964167,-192.057,24.1141,0.0,0.499212277375,0.156616,59.16341495513916
58,-198.682,2.96863e+10,9977.910440444946,181.119,0.62300363048,230.967721263,104.766726936,1.1265144348144531,0.999539,423.803817493,181.382,183,0.466889558992,595.143,11.6928051602,0.13759756088256836,0.622252533033,181.636037948,9.940024375915527,706.446659336,181.172132674,276.625525184,0.00641686,-198.822,24.114,0.0,0.62300363048,0.139893,59.708136796951294
