AverageAbsQ,AverageDiscountedReturn,MaxReturn,AbsLearnSignalOld,AverageAbsQYDiff,Time,AbsLearnSignalNew,dLoss,AverageY,AverageQLoss,Perplexity,ExplainedVariance,Iteration,NumTrajs,MeanKL,LossAfter,ProcessExecTime,MinReturn,AverageReturn,PolicyExecTime,AveragePolicyStd,LossBefore,Entropy,EnvExecTime,AverageAbsY,MeanKLBefore,StdReturn,ItrTime,AverageQ,AbsLearnSignal
363.36,285.701260396,3743.17897025,0.627964470782,2.94528197503,45933.15556669235,0.628402474867,0.0391541,363.311685809,150.031,946.782,0.736999391225,1340,5,0.00999174,-376.179,0.09370732307434082,3548.69289169,3664.89394329,0.661794900894165,0.791411,-376.14,6.85307,1.5620977878570557,363.365784425,0.0,91.3089672936,32.93680238723755,363.306,0.628402474867
363.581,283.270012328,3809.04681439,0.605996374482,2.89876387288,45966.32173323631,0.606409001257,0.0330505,363.533370261,135.713,946.989,0.406887188617,1341,5,0.00986988,-330.916,0.08436036109924316,1612.76324726,3161.32143956,0.6297817230224609,0.791477,-330.883,6.85329,1.54701566696167,363.584551387,0.0,788.353149502,33.04149127006531,363.53,0.606409001257
363.505,288.162579635,3904.07650094,0.691135785754,2.87109769122,45999.69165611267,0.691258889146,0.0354004,363.455915605,133.331,945.346,0.862317047538,1342,5,0.00988895,-330.188,0.08533453941345215,1544.62124466,3287.65112832,0.6165697574615479,0.791268,-330.153,6.85155,1.5426321029663086,363.507203953,0.0,894.380919252,33.24798059463501,363.454,0.691258889146
363.511,280.4188526,3810.55629239,0.707467450831,2.92552982045,46032.86339378357,0.707494560846,0.0314026,363.461567798,141.323,942.973,0.81209015094,1343,5,0.00640723,-375.631,0.0958864688873291,3356.73777084,3635.88829137,0.6732618808746338,0.790969,-375.599,6.84904,1.5536203384399414,363.514242467,0.0,159.004080512,33.045928716659546,363.458,0.707494560846
363.787,264.558450499,3968.87341696,0.728829286857,2.89133276221,46066.117097854614,0.729904906992,0.0300598,363.744000375,138.139,942.342,0.864227252566,1344,5,0.0099139,-376.861,0.0879828929901123,3257.99099928,3621.78615755,0.6493632793426514,0.790896,-376.831,6.84837,1.542170524597168,363.790286814,0.0,236.403591698,33.132404088974,363.741,0.729904906992
363.587,285.9396754,3912.95334081,0.717778161038,3.01616577731,46099.0551943779,0.717718594317,0.0352783,363.546733846,160.559,942.563,0.822580519463,1345,5,0.00988248,-374.187,0.09302783012390137,3438.849928,3628.09973539,0.6434988975524902,0.790955,-374.151,6.8486,1.5440208911895752,363.591059131,0.0,157.113747498,32.818127393722534,363.543,0.717718594317
363.074,265.708126958,3787.47007578,0.562325386168,2.9944507501,46132.287910461426,0.562585628532,0.0357971,363.03093634,150.265,943.592,0.600303812028,1346,5,0.00998733,-298.032,0.09203529357910156,1011.52019865,2944.60887777,0.6860630512237549,0.791129,-297.996,6.84969,1.5631976127624512,363.077921534,0.0,1045.58375468,33.1152024269104,363.026,0.562585628532
363.246,269.86190125,3793.68686622,0.653013447275,2.92287547062,46165.5725581646,0.652651269029,0.0357361,363.199926367,137.153,943.763,0.73775842171,1347,5,0.0099168,-376.311,0.09040951728820801,3433.24867142,3618.78695436,0.6857397556304932,0.791147,-376.275,6.84987,1.5737800598144531,363.249221063,0.0,129.083792562,33.161659240722656,363.197,0.652651269029
363.22,268.609559365,3648.97278645,0.752950485083,2.94863648731,46198.88323497772,0.752584599057,0.0324097,363.179044032,149.253,943.763,0.871313649775,1348,5,0.00646853,-375.209,0.08928489685058594,3473.52545943,3578.23304754,0.6819953918457031,0.791236,-375.177,6.84987,1.5726516246795654,363.223692598,0.0,57.9056046022,33.1921808719635,363.175,0.752584599057
363.223,286.431008452,3667.78539636,0.610327554012,2.92565945718,46232.067143678665,0.609676142123,0.0295105,363.175338521,147.337,943.116,0.71994990374,1349,5,0.0064541,-352.397,0.09366965293884277,2682.09302523,3348.04036486,0.7004752159118652,0.791166,-352.368,6.84919,1.5891778469085693,363.22668692,0.0,348.973925315,33.06458067893982,363.172,0.609676142123
363.275,284.210321252,3764.24343787,0.71505909632,2.96928860807,46265.07963490486,0.715366552657,0.0292969,363.232320025,147.239,942.144,0.79599297908,1350,5,0.00996831,-375.657,0.09091663360595703,3539.37033962,3660.32957655,0.6419410705566406,0.791064,-375.628,6.84816,1.5709295272827148,363.279047387,0.0,75.8144392319,32.89353060722351,363.228,0.715366552657
363.09,290.446163502,3774.67885961,0.754766867783,2.947180715,46298.06978034973,0.755082524831,0.0397034,363.050381595,151.299,942.037,0.828540210002,1351,5,0.0099717,-374.92,0.09030985832214355,3438.65294304,3611.90084496,0.6325371265411377,0.791044,-374.88,6.84804,1.5672037601470947,363.093565394,0.0,139.134654318,32.867565631866455,363.047,0.755082524831
363.19,276.825895884,3748.64190942,0.729003267416,2.91539523428,46331.08574151993,0.728841288458,0.0326843,363.146264945,144.954,941.542,0.893358646464,1352,5,0.00993411,-377.861,0.08965682983398438,3648.61574142,3702.8588832,0.6419639587402344,0.790999,-377.828,6.84752,1.5614845752716064,363.194493456,0.0,38.7019394416,32.893505334854126,363.142,0.728841288458
363.361,272.818301278,3891.62021968,0.723741525972,2.90330108366,46364.13224506378,0.72440618447,0.0401306,363.311767125,145.166,940.652,0.887887921367,1353,5,0.00996973,-376.988,0.08902430534362793,3403.58560213,3655.57699247,0.6437492370605469,0.790953,-376.948,6.84657,1.573852300643921,363.363067813,0.0,154.722190935,32.92343592643738,363.31,0.72440618447
363.471,291.087675345,3921.2479214,0.740448644202,2.9590587746,46397.418073654175,0.739602714815,0.0336609,363.422894918,150.062,939.422,0.823213492552,1354,5,0.00991017,-374.414,0.08902335166931152,3243.99168147,3605.59446737,0.6322011947631836,0.790798,-374.381,6.84526,1.5763154029846191,363.474660932,0.0,229.866018496,33.16550135612488,363.419,0.739602714815
364.023,294.054831022,3861.03360279,0.554452317067,2.94664043578,46430.66115355492,0.554641182507,0.0397644,363.974951653,146.719,939.167,0.63628002632,1355,5,0.00991257,-363.957,0.0956122875213623,2933.91487499,3599.43665083,0.6883032321929932,0.790766,-363.917,6.84499,1.5856633186340332,364.024667237,0.0,339.574021739,33.12113904953003,363.973,0.554641182507
363.973,281.719403523,3911.42614473,0.716449360054,2.89239868562,46464.304955005646,0.717519551313,0.0357361,363.928933934,137.467,938.025,0.770106162484,1356,5,0.00648159,-374.401,0.09498906135559082,3279.58173593,3621.27825404,0.693444013595581,0.790606,-374.366,6.84378,1.5906283855438232,363.977630213,0.0,202.316825315,33.519208669662476,363.925,0.717519551313
364.078,277.451643448,3749.69632439,0.753759140169,2.99716681401,46497.79081487656,0.754042037881,0.0305481,364.038623996,158.547,937.545,0.829019358008,1357,5,0.00646512,-376.833,0.09605956077575684,3577.58926689,3661.37378785,0.664708137512207,0.790555,-376.802,6.84327,1.573848009109497,364.083224566,0.0,73.7064401635,33.36297941207886,364.034,0.754042037881
364.323,277.314538807,3642.74075751,0.568685151115,2.83720362494,46531.52731227875,0.568733555421,0.036438,364.285004078,127.792,938.287,0.805142572499,1358,5,0.00994123,-333.563,0.09486937522888184,1792.15363866,3241.47424104,0.6828353404998779,0.790688,-333.526,6.84406,1.5764682292938232,364.326425918,0.0,725.117583949,33.61254096031189,364.282,0.568733555421
364.284,282.418242168,3728.75486377,0.702420714993,2.88488275919,46564.7171959877,0.700481173714,0.0472717,364.248516615,136.606,937.864,0.794283950565,1359,5,0.00977875,-375.043,0.09650826454162598,3433.14251551,3613.76426459,0.6948761940002441,0.79064,-374.996,6.8436,1.5926713943481445,364.286530225,0.0,106.914457591,33.063801765441895,364.246,0.700481173714
364.483,270.830435072,3726.84513992,0.756657806824,2.96740627785,46598.0548286438,0.756797233203,0.0306396,364.443328026,148.32,937.357,0.815000986627,1360,5,0.0064322,-374.532,0.0909428596496582,3402.20431655,3564.15456192,0.6420798301696777,0.790588,-374.501,6.84306,1.5574817657470703,364.486323467,0.0,120.371969699,33.21391487121582,364.441,0.756797233203
364.187,277.095958226,3671.97769447,0.593102646327,2.9218631291,46631.354761362076,0.592822830533,0.032074,364.144664075,138.414,938.373,0.647804639212,1361,5,0.00978432,-321.548,0.08905649185180664,1769.01243469,3139.73892597,0.6601665019989014,0.790758,-321.516,6.84415,1.5662837028503418,364.190053691,0.0,708.615063473,33.179813623428345,364.142,0.592822830533
364.384,271.162330415,3818.09747355,0.709075608022,2.97056577167,46664.90171074867,0.708617824908,0.0332642,364.341515424,142.382,938.281,0.674795385341,1362,5,0.00643466,-377.131,0.09203052520751953,3475.11293445,3665.00249932,0.664259672164917,0.79074,-377.098,6.84405,1.5771703720092773,364.387705524,0.0,132.594978729,33.430858850479126,364.338,0.708617824908
364.446,278.285872746,3710.02077866,0.692586161104,3.02268635911,46698.18471622467,0.693617307809,0.0307007,364.405607668,152.96,937.624,0.801718560441,1363,5,0.00645639,-369.335,0.09339356422424316,3428.20022437,3517.14692864,0.6745293140411377,0.790682,-369.304,6.84335,1.5670921802520752,364.449195361,0.0,109.153006147,33.16316843032837,364.402,0.693617307809
364.42,270.704632768,3586.95305979,0.694530563212,2.95490322535,46731.38900065422,0.69423564967,0.0480652,364.375600372,141.372,937.232,0.707828666013,1364,5,0.00648011,-341.256,0.09383559226989746,2088.26064115,3155.88608338,0.6879720687866211,0.790637,-341.208,6.84293,1.5897283554077148,364.42255163,0.0,549.152603802,33.08658838272095,364.373,0.69423564967
