AverageQLoss,ExplainedVariance,ItrTime,Time,AbsLearnSignalNew,AveragePolicyStd,MaxReturn,LossAfter,Iteration,dLoss,NumTrajs,MeanKLBefore,Perplexity,Entropy,AverageQ,AverageAbsQYDiff,AverageAbsQ,ProcessExecTime,PolicyExecTime,AverageAbsY,AbsLearnSignal,StdReturn,MeanKL,AbsLearnSignalOld,MinReturn,EnvExecTime,LossBefore,AverageReturn,AverageDiscountedReturn,AverageY
139.136,0.767863983872,39.6751275062561,82924.40803289413,0.771928828636,0.852309,3644.42430221,-353.499,2013,0.0423279,5,0.0,1843.96,7.51967,328.009,3.92041591909,332.546,0.12106442451477051,0.8927345275878906,332.549637306,0.771928828636,163.445272951,0.0099412,0.772253928925,3199.61031132,1.537102460861206,-353.457,3470.53116506,235.860437181,328.01237258
136.253,-0.573935310739,39.51700401306152,82964.05856442451,0.516530930402,0.8523,3758.78598329,-300.905,2014,0.0428162,5,0.0,1843.92,7.51965,328.017,3.91766384356,332.585,0.1189417839050293,0.9042553901672363,332.588743982,0.516530930402,1203.26134515,0.00640362,0.51655819233,604.216744028,1.5505049228668213,-300.863,3002.55477913,242.113181932,328.019600503
144.86,0.731828717991,39.70234704017639,83003.89348387718,0.731361704224,0.852329,3745.19633052,-354.697,2015,0.0473633,5,0.0,1844.29,7.51985,328.029,3.94772030211,332.631,0.12096643447875977,0.906226634979248,332.635911601,0.731361704224,154.382666322,0.0099657,0.731659732163,3319.24437595,1.5567092895507812,-354.65,3537.0726714,248.437937652,328.033081993
133.415,0.817525689575,39.665342569351196,83043.69137215614,0.6411798921,0.85238,3830.5602635,-287.149,2016,0.0465393,5,0.0,1844.95,7.52021,327.728,3.85221734457,332.464,0.12103033065795898,0.9253976345062256,332.46800532,0.6411798921,1364.04636062,0.00640471,0.64118573981,167.574019965,1.5615737438201904,-287.103,2870.82791759,239.574096022,327.731155363
142.886,0.678982271491,39.8528528213501,83083.67778086662,0.657175090802,0.852389,3663.28249773,-327.002,2017,0.0382996,5,0.0,1845.07,7.52027,328.047,3.90325477016,332.742,0.1283702850341797,0.9353032112121582,332.745134605,0.657175090802,454.848258671,0.00640881,0.657625247321,2290.77769354,1.5817692279815674,-326.963,3142.77386364,237.623820794,328.049166764
144.01,0.786909127257,39.769954681396484,83123.57999825478,0.679738419501,0.852427,3596.38932706,-274.103,2018,0.0475769,5,0.0,1845.44,7.52047,327.522,3.9059119144,332.345,0.12319135665893555,0.9240860939025879,332.350929599,0.679738419501,1192.28607695,0.0099913,0.67957140087,487.658826984,1.5615637302398682,-274.056,2684.37800522,277.150325253,327.524869991
130.373,0.827208491383,39.549111127853394,83163.26071166992,0.672045474262,0.852211,3610.88434866,-293.392,2019,0.0436401,5,0.0,1842.5,7.51888,327.182,3.81702288213,332.082,0.12558960914611816,0.9332106113433838,332.087625096,0.672045474262,1176.45843797,0.00994155,0.671766655815,471.488699951,1.5933680534362793,-293.348,2809.06572498,252.709558545,327.185394755
129.197,0.788053294485,39.861980676651,83203.26106190681,0.649665313545,0.852251,3576.48232079,-319.208,2020,0.0376892,5,0.0,1843.09,7.5192,327.378,3.82663547334,332.293,0.12230849266052246,0.9254677295684814,332.30133767,0.649665313545,748.874232859,0.00641036,0.649700505323,1586.06948611,1.5789787769317627,-319.17,3076.65422704,263.824797159,327.382533867
140.714,0.771703978294,39.61377000808716,83243.00775623322,0.719477312416,0.852196,3612.24415553,-353.748,2021,0.0421753,5,0.0,1842.3,7.51877,327.147,3.9115252644,332.099,0.1262516975402832,0.9109179973602295,332.102362552,0.719477312416,142.488056473,0.00997354,0.719484899264,3234.89523512,1.5671515464782715,-353.706,3476.50353942,282.422537143,327.148933542
141.073,0.739004591375,39.80801773071289,83282.94948506355,0.767172528792,0.852054,3813.98653409,-355.718,2022,0.0450134,5,0.0,1840.54,7.51782,326.933,3.92981975469,331.892,0.11988663673400879,0.9251716136932373,331.896295491,0.767172528792,236.91782958,0.00992021,0.767074232284,3150.17467981,1.5674824714660645,-355.673,3581.88043749,261.278441404,326.934378632
