Iteration,AbsLearnSignalOld,dLoss,AverageAbsQ,NumTrajs,ProcessExecTime,MeanKL,AverageAbsQYDiff,ItrTime,AverageReturn,PolicyExecTime,AveragePolicyStd,Entropy,AverageY,MinReturn,Perplexity,LossBefore,AverageQLoss,MaxReturn,AbsLearnSignal,MeanKLBefore,ExplainedVariance,AverageDiscountedReturn,Time,AverageQ,StdReturn,EnvExecTime,AverageAbsY,AbsLearnSignalNew,LossAfter
54,0.669842964132,0.0568733,44.7931,5,0.09350132942199707,0.00997592,1.70771659038,36.371296644210815,340.210868862,0.7567927837371826,0.909513,7.93869,43.7678817973,144.039789236,2803.69,-42.9242,9.29452,451.681462221,0.669151018987,0.0,0.243313114269,-22.9326368969,2012.3883645534515,43.7599,119.457322956,1.6828749179840088,44.8666102372,0.669151018987,-42.9811
55,0.689171115515,0.0487137,45.5701,5,0.09075212478637695,0.00641931,1.7163192977,36.51332879066467,254.872021845,0.7536640167236328,0.908099,7.92915,44.5946654567,-231.170562836,2777.07,-34.6405,9.47418,490.925814889,0.689572364253,0.0,0.123726556305,15.8598637628,2049.0223848819733,44.5867,258.831386109,1.7035045623779297,45.634725746,0.689572364253,-34.6892
56,0.746536540519,0.0539742,46.6612,5,0.0940854549407959,0.00983939,1.70571347446,36.32694339752197,512.281352703,0.780102014541626,0.903837,7.9006,45.7602306931,443.047873307,2698.9,-56.8142,9.31345,578.299910224,0.74643163428,0.0,0.285422246517,45.1156142123,2085.4676711559296,45.7535,45.0994047695,1.7112996578216553,46.7221526222,0.74643163428,-56.8682
57,0.750829647883,0.0430298,47.6207,5,0.09043049812316895,0.00646332,1.70082331395,36.39891743659973,339.331021056,0.7863514423370361,0.9038,7.90088,46.7785159859,-201.580162327,2699.65,-52.1815,9.23715,517.875375168,0.751699425896,0.0,0.571982056975,23.554773476,2121.9822347164154,46.7707,272.620623096,1.7154121398925781,47.6759180543,0.751699425896,-52.2245
58,0.635791082062,0.0605354,48.3479,5,0.09484124183654785,0.00994875,1.7112820474,36.328272581100464,318.814652101,0.7639155387878418,0.902932,7.89509,47.5619452872,152.677535859,2684.07,-41.6116,9.67817,425.480472368,0.635668374074,0.0,-7.09031835822,-3.31455659327,2158.4321026802063,47.5551,104.259064977,1.7086877822875977,48.4007399847,0.635668374074,-41.6721
59,0.720044838231,0.0427933,49.139,5,0.09565353393554688,0.006403,1.7013596922,36.40456986427307,457.919497085,0.7650067806243896,0.903205,7.89735,48.4080522271,259.894327147,2690.14,-50.6014,9.30223,585.437029081,0.721110413337,0.0,0.394025680896,13.0302437263,2194.957042694092,48.4013,114.768290844,1.6978976726531982,49.1876450278,0.721110413337,-50.6442
60,0.728889761419,0.041748,50.0762,5,0.09583544731140137,0.00643864,1.69538018896,36.23509502410889,452.68176516,0.7450714111328125,0.900222,7.87751,49.4031462492,352.27435708,2637.3,-60.3164,9.54325,545.179592049,0.728286702539,0.0,0.231415674979,14.256957885,2231.3101139068604,49.3961,82.6292732464,1.700535774230957,50.1220706029,0.728286702539,-60.3581
61,0.487288200529,0.0643234,50.7051,5,0.09722471237182617,0.00994087,1.68393994942,36.50388240814209,438.258857086,0.7566182613372803,0.89746,7.85909,50.0704367237,291.679861686,2589.16,-53.5166,9.20915,510.533766558,0.487358174308,0.0,-18.3692198477,15.6457011035,2267.9388127326965,50.0641,81.8053591076,1.7092170715332031,50.7474487542,0.487358174308,-53.5809
62,0.736966182377,0.0539513,51.4266,5,0.09320735931396484,0.00975624,1.67648773669,36.50529074668884,398.754521407,0.7547030448913574,0.895988,7.84933,50.8151829116,186.756782082,2564.03,-45.5304,9.22064,597.953358977,0.736156648582,0.0,0.617123427522,37.5591663687,2304.565990924835,50.8087,163.944064487,1.7005276679992676,51.4671399877,0.736156648582,-45.5843
63,0.733295382904,0.0541687,51.9172,5,0.09741497039794922,0.00985687,1.69381578656,36.48378109931946,423.994161468,0.765927791595459,0.89455,7.83949,51.3435054442,314.434697632,2538.9,-46.0173,9.6502,560.73823205,0.733180319519,0.0,0.267477585078,19.2416754525,2341.1635642051697,51.3378,89.5915447809,1.6953022480010986,51.9564843217,0.733180319519,-46.0715
64,0.680976737828,0.0516319,52.541,5,0.09794044494628906,0.00997587,1.68717327586,36.49285864830017,382.01508072,0.7675950527191162,0.893517,7.83165,52.0078896945,203.571772308,2519.09,-51.5395,9.39295,522.550959787,0.682081892998,0.0,0.465737891189,-8.4182158097,2377.7759873867035,52.0015,117.865667846,1.7179794311523438,52.5788127091,0.682081892998,-51.5912
65,0.718506774769,0.0441017,53.0493,5,0.09539222717285156,0.00650534,1.70162207307,36.79455780982971,399.895550731,0.7959756851196289,0.893789,7.83254,52.5508388114,308.066614719,2521.32,-53.4292,9.76609,506.819596393,0.719213501806,0.0,0.275930900287,15.7764627801,2414.6917958259583,52.5449,67.0876033867,1.7378454208374023,53.0820617763,0.719213501806,-53.4733
66,0.734439847711,0.040966,53.7115,5,0.09628844261169434,0.0064714,1.68721894489,36.769285678863525,507.271281735,0.7805643081665039,0.892185,7.82121,53.2551759888,370.336966101,2492.91,-60.7309,9.33322,602.172341781,0.733545605646,0.0,0.481935047753,22.8725503613,2451.5830042362213,53.2492,88.2692245687,1.7338638305664062,53.7415847806,0.733545605646,-60.7718
67,0.714585754685,0.0421524,54.3634,5,0.0981743335723877,0.00651214,1.67515836503,36.82049512863159,573.223110452,0.7994205951690674,0.892041,7.81924,53.8962790926,513.382891136,2488.01,-66.0031,9.34515,659.084288035,0.715302390164,0.0,0.434432173442,27.2380341189,2488.5256793498993,53.8902,50.2230475257,1.7327487468719482,54.3925894342,0.715302390164,-66.0453
68,0.693939142232,0.0548515,54.9857,5,0.09453821182250977,0.00990766,1.66472929055,36.51240348815918,491.529960855,0.7679624557495117,0.890731,7.81,54.5415185656,202.268539481,2465.13,-58.9227,9.47034,600.143580135,0.693788071492,0.0,-0.0144600567516,28.5321192086,2525.1575837135315,54.5361,146.181818367,1.7149298191070557,55.0119214789,0.693788071492,-58.9776
69,0.712795653043,0.0382309,55.5866,5,0.09672427177429199,0.00643984,1.66089229864,36.43607997894287,580.160474069,0.7722909450531006,0.891255,7.81314,55.1695926717,488.999276249,2472.89,-67.1554,9.55108,629.429903877,0.713560508018,0.0,0.45963015453,19.5028630674,2561.716092824936,55.1641,50.9288238122,1.7134101390838623,55.6115157903,0.713560508018,-67.1936
