LossAfter,AverageAbsY,StdReturn,MinReturn,ItrTime,Entropy,AverageDiscountedReturn,Iteration,NumTrajs,dLoss,AbsLearnSignalNew,LossBefore,AbsLearnSignalOld,PolicyExecTime,MeanKL,AverageAbsQ,AverageReturn,AverageQ,AbsLearnSignal,AverageAbsQYDiff,AverageY,AveragePolicyStd,Time,EnvExecTime,MaxReturn,ProcessExecTime,ExplainedVariance,AverageQLoss,Perplexity,MeanKLBefore
-8.1984,12.3283275175,166.830907503,-217.877103079,39.69572567939758,8.22367,-2.50669889507,38,5,0.0641565,0.694725862933,-8.13425,0.69545992902,0.9724941253662109,0.00650162,12.2704,98.0346652479,-1.0713,0.694725862933,1.13762109077,-1.06802662567,0.953101,1549.8547196388245,1.604177713394165,260.110595632,0.12017130851745605,-0.565994692888,2.56463,3728.14,0.0
-16.1164,13.2207446645,42.7428491282,193.25504337,39.63582158088684,8.22264,27.9096765834,39,5,0.0799217,0.802909101314,-16.0364,0.803827886882,0.969207763671875,0.00997365,13.1734,256.854641979,0.393317,0.802909101314,1.1469852692,0.396642174496,0.952963,1589.6287753582,1.608628273010254,306.085240267,0.12165141105651855,-0.0915376375352,2.6121,3724.32,0.0
-16.513,14.2177813802,41.5732262428,215.278603259,39.74000930786133,8.20323,27.7701676178,40,5,0.073391,0.771529848714,-16.4396,0.769666157673,0.9590272903442383,0.00985954,14.1786,256.981783174,1.90162,0.771529848714,1.15012528164,1.90478910789,0.949906,1629.5046396255493,1.621086597442627,319.0997164,0.11818981170654297,0.28678212381,2.63108,3652.73,0.0
-22.0461,15.3988646135,128.135256441,195.091508618,39.59316658973694,8.20715,36.5622762322,41,5,0.0652676,0.795640122687,-21.9809,0.796248512041,0.9445698261260986,0.00656991,15.3687,376.079842,3.54222,0.795640122687,1.1556051508,3.54507645891,0.950534,1669.2287209033966,1.606008529663086,517.62170441,0.11956119537353516,0.132082968978,2.68896,3667.09,0.0
-19.3421,16.6373203771,156.017735352,59.2560759092,39.758232831954956,8.19519,31.9201280303,42,5,0.0578194,0.64593735555,-19.2843,0.646021093482,0.9477612972259521,0.00640746,16.613,341.250154213,5.17681,0.64593735555,1.16351408734,5.1804477775,0.948699,1709.1206533908844,1.6076154708862305,522.314639723,0.11783695220947266,-1.13148411572,2.72251,3623.48,0.0
-12.2175,17.9184357823,149.000521677,77.2973942713,39.928882122039795,8.18302,43.1483470878,43,5,0.0675821,0.795953760082,-12.1499,0.797369305227,0.9634907245635986,0.00992636,17.8973,267.115503349,6.62447,0.795953760082,1.18026667104,6.62788517429,0.946804,1749.185890197754,1.605903148651123,450.101726279,0.11860322952270508,0.704732168445,2.85445,3579.65,0.0
-11.8364,19.1923278813,177.587602959,22.4316698174,39.43524789810181,8.17653,53.1419447671,44,5,0.0643034,0.812680990747,-11.7721,0.813838251845,0.9538981914520264,0.00993148,19.1726,268.915030277,8.06052,0.812680990747,1.19021173795,8.0638455078,0.945836,1788.7570042610168,1.599611520767212,525.857448776,0.11798787117004395,0.726135346557,2.90872,3556.48,0.0
-23.9091,20.5833443195,145.306272793,199.073404676,39.5936381816864,8.16026,45.8018324591,45,5,0.0573597,0.740418100899,-23.8517,0.73839679982,0.9333691596984863,0.0064533,20.5679,393.408142046,9.76716,0.740418100899,1.2010858887,9.77052018027,0.943298,1828.483503818512,1.606605052947998,552.746437124,0.11853313446044922,0.65659317046,3.02753,3499.1,0.0
-33.7078,22.0529232265,93.4244132655,395.324426632,39.35520553588867,8.14249,39.4177686539,46,5,0.0581398,0.799320259819,-33.6497,0.798683819531,0.9414932727813721,0.0064472,22.0392,521.983971931,11.6321,0.799320259819,1.21360606842,11.6354837983,0.940677,1867.972458600998,1.5868592262268066,666.232885895,0.11491990089416504,0.133017727081,3.09361,3437.46,0.0
-28.3101,23.4946287511,291.327260649,-64.9714926803,39.715670585632324,8.1254,44.8027366296,47,5,0.0570946,0.758246718831,-28.253,0.758073933163,0.9654264450073242,0.00641088,23.4819,489.614590943,13.4127,0.758246718831,1.22117326643,13.4163670178,0.937981,1907.8224565982819,1.6005094051361084,742.16468394,0.11606597900390625,0.686058056881,3.09125,3379.21,0.0
