MinReturn,MeanKLBefore,AbsLearnSignal,Perplexity,Entropy,ProcessExecTime,LossAfter,ExplainedVariance,AverageReturn,Time,PolicyExecTime,AverageDiscountedReturn,Iteration,MaxReturn,NumTrajs,MeanKL,StdReturn,EnvExecTime,LossBefore,dLoss,ItrTime,AveragePolicyStd
291.32367663,0.0,0.664849314725,13.7091,2.61806,0.09656023979187012,-0.0474591,0.786393374802,991.135342204,7012.908294439316,0.7348358631134033,165.477156518,1920,1995.40199031,5,0.00998295,763.70925776,1.7156965732574463,2.02179e-08,0.0474591,3.5235185623168945,0.383337
1199.78202729,0.0,0.718354204629,13.7028,2.6176,0.09654116630554199,-0.0382599,0.601453426338,1974.0553347,7016.5222771167755,0.7885243892669678,189.92714701,1921,2260.53854557,5,0.0064384,394.163979175,1.740769386291504,-2.95639e-09,0.0382599,3.6099982261657715,0.383279
-262.909419979,0.0,0.69420764773,13.6858,2.61636,0.08913993835449219,-0.0441667,0.744483858604,626.038321605,7020.113018035889,0.7696905136108398,156.561268673,1922,2257.21196348,5,0.0064095,870.783505917,1.6967072486877441,1.37329e-08,0.0441668,3.585148334503174,0.383182
449.956934304,0.0,0.686090982234,13.6883,2.61654,0.09309697151184082,-0.0467139,-0.0592190625305,1505.59582231,7023.915758132935,0.8108680248260498,183.733031228,1923,2207.68042299,5,0.00992437,782.933395922,1.7560977935791016,8.45909e-08,0.046714,3.6791985034942627,0.383336
11.868386721,0.0,0.682362207888,13.7718,2.62262,0.08854126930236816,-0.0508301,0.775064105107,1519.82834091,7027.435648679733,0.7506697177886963,165.622713709,1924,2231.45864495,5,0.00997963,789.730972116,1.7069613933563232,-7.58171e-09,0.0508301,3.5143144130706787,0.383768
1521.52202005,0.0,0.703867810302,13.7665,2.62224,0.08452773094177246,-0.0381255,0.745227187304,1947.58982741,7031.017038345337,0.7824070453643799,178.752744076,1925,2203.95579933,5,0.00640177,228.237976378,1.7451565265655518,-8.39233e-09,0.0381255,3.5767295360565186,0.383833
370.975930441,0.0,0.744116971431,13.7647,2.6221,0.08771896362304688,-0.0467109,0.436290609089,1766.8209252,7034.691768884659,0.7450129985809326,166.737298433,1926,2338.8926059,5,0.00995425,708.841713926,1.7117395401000977,-5.42641e-08,0.0467108,3.5572612285614014,0.383759
-424.88260967,0.0,0.625123310361,13.8335,2.62709,0.09426259994506836,-0.036373,0.756472913593,1424.31355226,7038.359933376312,0.801785945892334,140.591729227,1927,2065.96010722,5,0.00640349,933.342384202,1.7552404403686523,8.39233e-09,0.036373,3.663748264312744,0.384145
-29.353813438,0.0,0.736429178485,13.7769,2.623,0.09351110458374023,-0.0410028,0.733043780603,1359.30171081,7042.021321058273,0.7737841606140137,187.513123393,1928,2102.81153185,5,0.00640374,774.666549414,1.7418065071105957,3.5286e-08,0.0410029,3.656338930130005,0.383878
-398.049486518,0.0,0.683319751814,13.8686,2.62963,0.0940396785736084,-0.0416302,0.785969022572,1512.52585149,7045.784639835358,0.7545020580291748,143.197754521,1929,2233.1073198,5,0.00646376,989.114407741,1.7110824584960938,-2.21252e-08,0.0416302,3.647775650024414,0.384319
