ItrTime,PolicyExecTime,Time,AverageDiscountedReturn,AverageAbsQ,EnvExecTime,MaxReturn,NumTrajs,AverageQ,ExplainedVariance,AverageQLoss,StdReturn,AverageY,AverageAbsY,ProcessExecTime,AverageReturn,Perplexity,AverageAbsQYDiff,LossBefore,MinReturn,MeanKLBefore,AbsLearnSignal,AbsLearnSignalOld,LossAfter,MeanKL,AveragePolicyStd,Iteration,dLoss,AbsLearnSignalNew,Entropy
56.19669961929321,1.1441006660461426,10998.127650499344,282.360939494,180.605,10.078444480895996,767.950319628,56,180.39,-2.40836213963,81.2282,110.894613756,180.411240124,180.520502775,0.13634133338928223,438.093580631,3.05082e+10,6.06105136792,-189.319,258.339215854,0.0,0.270343832973,0.270272733383,-189.391,0.00947048,1.00116,191,0.0720673,0.270343832973,24.1413
55.43560767173767,1.1239781379699707,11053.703589439392,272.084616305,181.039,9.859495639801025,795.662390178,57,180.815,-0.63369911887,79.117,122.095442732,180.832482893,180.942649586,0.1353440284729004,418.837137227,3.05343e+10,6.01589179232,-186.606,239.284994461,0.0,0.543247130971,0.543163690946,-186.693,0.00890511,1.00122,192,0.0866852,0.543247130971,24.1421
56.31653547286987,1.127897024154663,11110.163595438004,279.518580541,181.587,9.994818449020386,728.779888513,56,181.352,0.274799196976,77.6548,83.1393315003,181.370210204,181.496761032,0.13599443435668945,428.774792405,3.05876e+10,5.96262776205,-187.319,258.364984203,0.0,0.54104438911,0.540757368444,-187.419,0.00961666,1.00132,193,0.100204,0.54104438911,24.1439
56.190309286117554,1.0989909172058105,11166.499502182007,291.68325352,181.821,9.888190507888794,831.932812365,52,181.61,0.288554989634,75.2154,133.312673701,181.625426013,181.736205979,0.13320016860961914,468.754623627,3.06296e+10,5.88505133805,-195.174,252.757218868,0.0,0.599941600619,0.599740151565,-195.26,0.00989627,1.0014,194,0.0858002,0.599941600619,24.1452
56.293137073516846,1.1305651664733887,11222.934807062149,286.408441258,181.758,10.172959327697754,1357.32202729,51,181.58,-0.0999782741458,75.36,181.965789845,181.594372916,181.684907691,0.13686585426330566,466.647366743,3.05799e+10,5.88884315694,-192.474,285.580502729,0.0,0.619068150348,0.61896436977,-192.559,0.00990156,1.00131,195,0.0852203,0.619068150348,24.1436
56.29261660575867,1.0699570178985596,11279.365930080414,281.837346652,182.703,9.543654203414917,656.3331652,56,182.535,-0.381870538397,75.5517,92.790990755,182.549545103,182.632740753,0.13077473640441895,435.979505719,3.05896e+10,5.904736871,-190.376,182.875109463,0.0,0.601490267823,0.601583742325,-190.442,0.00648889,1.00133,196,0.0661163,0.601490267823,24.1439
56.27178239822388,1.0881860256195068,11335.775960206985,283.266000195,183.58,9.726518630981445,770.775171316,54,183.414,-7.19992896668,76.7542,125.516774969,183.425212315,183.502963987,0.13204741477966309,446.659670475,3.05578e+10,5.92931217577,-188.378,234.544508428,0.0,0.208054661087,0.207829416132,-188.447,0.00887086,1.00127,197,0.0693512,0.208054661087,24.1429
55.58859944343567,1.1152548789978027,11391.50929903984,279.987958663,183.957,9.810903310775757,1130.14586945,56,183.8,0.193458576063,73.9133,125.595176017,183.812462319,183.888574079,0.13365411758422852,435.986258916,3.0597e+10,5.83163508191,-191.614,291.393214887,0.0,0.641144901697,0.64123501419,-191.705,0.00998355,1.00134,198,0.0914154,0.641144901697,24.1442
55.7750027179718,1.1268806457519531,11447.428656101227,278.688843089,183.952,9.82665228843689,778.071969139,57,183.808,0.311854578305,72.5678,104.007938381,183.81898973,183.886945583,0.13354206085205078,429.468525023,3.05321e+10,5.7771562186,-191.01,252.625306746,0.0,0.648956629329,0.648869679832,-191.106,0.00870769,1.00122,199,0.0957794,0.648956629329,24.142
56.08130216598511,1.1493771076202393,11503.657022237778,281.556544162,184.499,10.002133131027222,1077.72513152,55,184.367,0.0783216601607,71.4545,137.593031212,184.377812719,184.436873798,0.1358795166015625,443.290846667,3.05231e+10,5.74409497016,-192.831,271.436263837,0.0,0.637070633629,0.636500109979,-192.923,0.00977793,1.0012,200,0.0920105,0.637070633629,24.1417
