AverageQ,AverageAbsY,EnvExecTime,MaxReturn,PolicyExecTime,AbsLearnSignalNew,StdReturn,MinReturn,LossAfter,AverageDiscountedReturn,Entropy,AbsLearnSignal,AverageAbsQ,NumTrajs,ItrTime,Iteration,ProcessExecTime,LossBefore,ExplainedVariance,dLoss,MeanKL,AbsLearnSignalOld,Perplexity,AverageQLoss,Time,MeanKLBefore,AverageY,AveragePolicyStd,AverageAbsQYDiff,AverageReturn
175.095,175.128191437,8.338398933410645,581.347590116,1.0201892852783203,0.630394037649,75.221246723,209.565367761,-178.416,236.922950328,24.1218,0.630394037649,175.147,76,53.68700385093689,23,0.13993167877197266,-178.199,0.331995200563,0.217545,0.00971611,0.6305145383,2.99195e+10,118.42,1284.4712998867035,0.0,175.113420199,0.99999,7.40539132336,329.637395086
176.976,177.006585714,8.48865818977356,719.943100677,1.0164165496826172,0.580883066025,87.7950215299,165.458715776,-182.321,240.527138967,24.1212,0.580883066025,177.027,74,53.16436767578125,24,0.1370229721069336,-182.103,0.339964988493,0.218002,0.00946943,0.580739384827,2.99035e+10,118.368,1337.7726860046387,0.0,176.993273976,0.999959,7.46071260104,338.169740439
178.207,178.240776947,8.37977647781372,896.238146188,1.0006694793701172,0.638361743272,100.726304353,192.477850206,-182.189,245.669291103,24.1202,0.638361743272,178.264,72,53.278353691101074,25,0.13496780395507812,-181.983,0.205162104185,0.205658,0.00997476,0.637338696733,2.98728e+10,123.176,1391.186202764511,0.0,178.225579001,0.999899,7.45449507336,349.895363433
179.121,179.152779903,8.442723035812378,616.732213398,1.0137991905212402,0.575815726059,79.5844901887,226.525621723,-183.661,241.454111534,24.1227,0.575815726059,179.178,75,53.11908793449402,26,0.13705182075500488,-183.482,0.216065711138,0.179382,0.00650807,0.57565568222,2.99473e+10,118.447,1444.4389498233795,0.0,179.140004453,1.00005,7.48404694565,338.142085542
179.741,179.776629334,8.454787969589233,693.428316476,1.0192809104919434,0.502796608159,73.6562116564,209.251738965,-182.52,241.996152868,24.1221,0.502796608159,179.794,75,52.50810122489929,27,0.1372213363647461,-182.318,0.215534500849,0.202133,0.00930304,0.50088154172,2.99297e+10,115.721,1497.081815481186,0.0,179.761631385,1.00001,7.42166138453,338.08442368
179.654,179.694458423,8.322618246078491,886.461424268,0.970456600189209,0.515804679448,93.4968679609,120.274732325,-181.433,227.762821294,24.1216,0.515804679448,179.706,81,53.137664794921875,28,0.13089966773986816,-181.281,0.317468451769,0.151779,0.00727711,0.515743650753,2.99151e+10,113.313,1550.3520338535309,0.0,179.679169165,0.999982,7.35335786581,313.998990926
179.233,179.270077914,8.477884292602539,558.58668062,1.0607967376708984,0.382612045835,78.2142399003,92.4919050996,-186.912,228.992102902,24.1222,0.382612045835,179.281,81,54.86114239692688,29,0.14397335052490234,-186.72,-0.425332931164,0.191391,0.00930574,0.382621379794,2.99336e+10,111.218,1605.3474414348602,0.0,179.257869995,1.00002,7.32523541046,314.139610711
178.772,178.809769744,8.474979162216187,650.96102458,1.0705218315124512,0.501002289757,80.8898310221,102.190832423,-180.704,230.908994097,24.1227,0.501002289757,178.822,79,53.50021266937256,30,0.14589834213256836,-180.539,-1.17913089143,0.16449,0.0097248,0.500084076173,2.9947e+10,109.49,1659.0253162384033,0.0,178.795178157,1.00004,7.28486740343,318.789936073
177.985,178.019806274,8.323410749435425,548.626126391,0.9956321716308594,0.576095968661,63.9852748817,206.22589595,-181.71,233.782916466,24.1222,0.576095968661,178.035,78,53.00092959403992,31,0.13341069221496582,-181.57,0.251477649439,0.139862,0.00641662,0.573543014585,2.99325e+10,108.409,1712.1563515663147,0.0,178.005747274,1.00002,7.27685197532,322.301094869
177.133,177.170202341,8.37946367263794,592.118723459,0.9869463443756104,0.516034644032,72.7865671674,180.438673495,-179.259,239.010255417,24.1224,0.516034644032,177.184,76,51.95416021347046,32,0.13469934463500977,-179.07,0.338938835296,0.188324,0.0090125,0.514285218025,2.99371e+10,107.505,1764.2416880130768,0.0,177.157677594,1.00003,7.25164801134,333.123664193
175.915,175.952060695,8.275939702987671,584.517926251,0.9658172130584717,0.648585434994,81.83116033,156.792068376,-178.125,237.766137862,24.1238,0.648585434994,175.963,75,51.58047890663147,33,0.1331028938293457,-177.965,0.446164032561,0.159668,0.00954364,0.647524799601,2.99802e+10,106.979,1815.952156305313,0.0,175.940422804,1.00011,7.23241336882,333.210078231
174.629,174.663617687,8.32249665260315,530.301108754,0.979133129119873,0.132899904877,72.0542156125,147.351693328,-177.635,237.003179606,24.1252,0.132899904877,174.678,77,52.88830828666687,34,0.13370633125305176,-177.451,-32.3312364798,0.184647,0.00793218,0.132781606145,3.00234e+10,103.22,1868.9714617729187,0.0,174.651317001,1.0002,7.12601400808,329.243282991
173.359,173.393817817,8.493427276611328,775.992494307,1.004624605178833,0.617282515506,100.065793379,185.012036793,-172.648,238.98198629,24.126,0.617282515506,173.404,76,54.03114056587219,35,0.13389301300048828,-172.485,0.387243411378,0.163208,0.00984546,0.617277344823,3.00463e+10,100.926,1923.1349222660065,0.0,173.380815023,1.00024,7.06837502438,336.170433535
172.646,172.680050133,8.627545833587646,771.501546065,1.023935317993164,0.141633366366,87.8170747221,83.2271106996,-173.005,239.713607934,24.125,0.141633366366,172.694,75,54.2454948425293,36,0.1363065242767334,-172.841,-24.630718887,0.164352,0.00775286,0.141593902005,3.00148e+10,98.4147,1977.5137147903442,0.0,172.664032593,1.00018,7.01222307843,336.244364053
171.263,171.301601294,8.377406597137451,518.53111531,1.0078694820404053,0.625108127393,78.9536698295,81.1377740157,-173.692,240.365054416,24.127,0.625108127393,171.317,75,52.86606001853943,37,0.1347661018371582,-173.525,0.496943917348,0.166397,0.00997571,0.623940762295,3.00752e+10,97.9642,2030.5123026371002,0.0,171.282733643,1.0003,6.99340658944,337.042269272
170.513,170.554952861,8.671494960784912,663.855452553,1.0178308486938477,0.609508411403,104.036819642,99.4315396557,-171.938,244.299598676,24.1249,0.609508411403,170.569,72,53.03778672218323,38,0.13595795631408691,-171.775,0.418296183419,0.163025,0.00983676,0.60912160434,3.00143e+10,97.2132,2083.6810717582703,0.0,170.532715765,1.00018,6.97386513884,349.386797167
