AverageAbsY,AbsLearnSignal,EnvExecTime,NumTrajs,PolicyExecTime,AverageQLoss,LossAfter,Perplexity,AverageDiscountedReturn,ItrTime,AverageAbsQYDiff,ProcessExecTime,MinReturn,AverageReturn,MaxReturn,StdReturn,Time,AverageAbsQ,LossBefore,AbsLearnSignalNew,MeanKL,MeanKLBefore,AverageQ,Iteration,AbsLearnSignalOld,AveragePolicyStd,AverageY,ExplainedVariance,dLoss,Entropy
221.43663382,0.642325143937,9.632999181747437,52,1.1060371398925781,707.406,-224.536,2.94704e+10,318.626225872,54.4134476184845,11.3833822177,0.14430499076843262,334.117906614,514.069287649,913.263044903,139.18782983,10245.637033700943,220.893,-224.418,0.642325143937,0.00980443,0.0,218.1,183,0.641786488074,0.999111,218.124623422,0.115273646757,0.118042,24.1067
221.256950287,0.345391451945,9.823395490646362,52,1.11161208152771,824.769,-221.726,2.95174e+10,314.8233,55.41953706741333,11.9257974315,0.14417243003845215,297.280153497,502.723366503,845.926790607,130.700958753,10301.179778814316,220.703,-221.624,0.345391451945,0.00949187,0.0,218.01,184,0.34581566604,0.999205,218.049178111,-1.84334496247,0.102234,24.1082
220.464592641,0.181897902766,9.710270166397095,54,1.116915225982666,669.746,-220.273,2.95651e+10,314.149438831,55.563164949417114,11.5159040001,0.14724040031433105,345.857360224,494.393561543,787.626191618,100.330282426,10356.86747765541,220.003,-220.192,0.181897902766,0.00628478,0.0,217.793,185,0.181600742136,0.999301,217.849756376,-7.0383011597,0.0809784,24.1099
218.687919043,0.624263539774,9.722532510757446,56,1.1122817993164062,818.426,-219.405,2.9549e+10,306.327822369,55.46520686149597,11.8660045876,0.14673280715942383,303.122766512,474.022967478,695.893297648,89.0119219928,10412.457297801971,218.159,-219.277,0.624263539774,0.00971621,0.0,215.597,186,0.624507268131,0.999268,215.612649513,0.368720671952,0.128342,24.1093
217.93485302,0.713272456885,9.813243865966797,56,1.1082868576049805,626.706,-222.766,2.94803e+10,307.71166669,55.26487851142883,11.220133817,0.144392728805542,298.116476509,480.093125382,786.679271915,109.098787143,10467.847478866577,217.564,-222.65,0.713272456885,0.00966076,0.0,215.564,187,0.713187677744,0.999131,215.582615929,0.633563571058,0.115616,24.107
218.165800724,0.626310884895,9.91593623161316,54,1.1302433013916016,523.333,-229.976,2.94132e+10,315.663146992,55.51958179473877,10.7284780288,0.14499592781066895,277.681587353,501.177580756,890.22171814,124.052503684,10523.4912109375,217.826,-229.876,0.626310884895,0.00973267,0.0,216.339,188,0.626467835803,0.998997,216.36905291,0.332740388657,0.100189,24.1047
219.950353687,0.659047476619,9.622931957244873,53,1.0899388790130615,521.172,-221.718,2.9435e+10,314.036707706,55.434486627578735,10.5373252374,0.14237475395202637,298.355774427,496.083661698,870.513781571,111.70175675,10579.048489809036,219.63,-221.618,0.659047476619,0.00915832,0.0,218.254,189,0.659130994284,0.999041,218.313691796,0.433765355994,0.0990601,24.1055
219.269884299,0.649443390514,9.68173861503601,55,1.1012160778045654,395.13,-224.457,2.93714e+10,312.610316219,55.84000086784363,9.93739007089,0.14296460151672363,327.170148657,490.17729377,834.393298267,99.923906546,10635.014704942703,218.989,-224.35,0.649443390514,0.00928821,0.0,217.699,190,0.648758341949,0.998913,217.736628556,0.520264412172,0.106689,24.1033
219.684360577,0.597812827473,9.53627896308899,52,1.0606555938720703,342.421,-228.054,2.94216e+10,316.692860132,55.10910248756409,9.7826146851,0.14238739013671875,335.790955192,505.20528724,852.29097747,114.257950451,10690.24949002266,219.456,-227.951,0.597812827473,0.00954441,0.0,218.683,191,0.597854560479,0.999013,218.734352756,0.393657873525,0.102432,24.105
219.589202881,0.617370675287,9.574612379074097,55,1.0644400119781494,284.591,-225.324,2.9454e+10,308.351138233,54.63422870635986,9.49708155531,0.14194607734680176,345.852345141,481.298526479,742.199691854,96.1647894127,10745.003975868225,219.432,-225.241,0.617370675287,0.00668453,0.0,219.074,192,0.618157632883,0.999078,219.121371926,0.333551134419,0.0832214,24.1061
