LossAfter,Time,dLoss,Perplexity,EnvExecTime,Entropy,MeanKL,AbsLearnSignal,MaxReturn,Iteration,AbsLearnSignalNew,AverageReturn,AveragePolicyStd,AbsLearnSignalOld,LossBefore,AverageAbsY,AverageY,PolicyExecTime,MinReturn,ProcessExecTime,AverageAbsQYDiff,AverageQLoss,ItrTime,AverageDiscountedReturn,AverageQ,StdReturn,NumTrajs,ExplainedVariance,MeanKLBefore,AverageAbsQ
-108.327,26804.888788700104,0.0579605,157.515,1.3728950023651123,5.05952,0.00988842,0.634357103911,1198.42079241,818,0.634357103911,1073.20563791,0.58273,0.634143436408,-108.269,116.963592556,116.913348959,0.6004009246826172,753.793493671,0.09138822555541992,1.00896190896,13.9458,31.733667135238647,61.7805134227,116.912,162.428637424,5,0.0213949216631,0.0,116.962
-108.795,26836.712967395782,0.0411301,157.609,1.3870675563812256,5.06012,0.00640662,0.703015771332,1211.48472391,819,0.703015771332,1087.50549359,0.582733,0.703103096243,-108.754,116.881988175,116.833136384,0.6110177040100098,735.643259034,0.08857226371765137,1.04064288065,15.875,31.697800636291504,84.8363400942,116.831,177.575693747,5,0.786065450829,0.0,116.879
-118.684,26868.650193691254,0.0425339,157.526,1.3669867515563965,5.05959,0.00994286,0.703334900282,1243.51625329,820,0.703334900282,1213.82582311,0.582689,0.703717100843,-118.642,116.929026621,116.878500641,0.6170361042022705,1186.20593955,0.08562827110290527,1.03940929307,16.0121,31.811235904693604,97.7067585354,116.878,23.5539483036,5,0.865230891779,0.0,116.928
-118.55,26900.456648111343,0.0411682,157.06,1.352825403213501,5.05662,0.0099982,0.747362400726,1253.11257912,821,0.747362400726,1199.79518799,0.582476,0.747365310057,-118.509,116.874893756,116.823645192,0.6187713146209717,1142.29380975,0.08658504486083984,1.04498898619,16.9235,31.6812481880188,103.562301556,116.822,40.5181755408,5,0.871276080431,0.0,116.873
-117.207,26932.271889925003,0.0484238,156.845,1.379016637802124,5.05526,0.00998077,0.57219921191,1237.04099521,822,0.57219921191,1149.28967427,0.582456,0.571968953633,-117.159,116.924623735,116.878105642,0.6135263442993164,921.899995028,0.0893564224243164,0.993291460906,13.6653,31.69531536102295,60.0244428441,116.877,115.68780505,5,0.599338114486,0.0,116.924
-118.491,26964.131527662277,0.0586395,156.816,1.3328464031219482,5.05507,0.0098674,0.584646340078,1204.56571778,823,0.584646340078,1175.69243653,0.582499,0.584933134785,-118.432,116.972157434,116.925532128,0.5811879634857178,1109.11804139,0.08498430252075195,1.04434263519,16.1262,31.738357543945312,76.2410141188,116.924,34.4360052316,5,0.858879046644,0.0,116.971
-117.911,26995.787055253983,0.0464096,156.079,1.3508663177490234,5.05036,0.00994867,0.761079646809,1199.51761187,824,0.761079646809,1155.01525379,0.582161,0.7612354587,-117.865,117.026574325,116.976016957,0.5841066837310791,1097.59779746,0.09377527236938477,1.03051983526,15.6847,31.53420639038086,85.7937135987,116.974,34.1352157472,5,0.848825036414,0.0,117.025
-117.912,27027.33075785637,0.0380554,156.388,1.366926908493042,5.05234,0.00646249,0.716190520475,1245.19759938,825,0.716190520475,1168.53045543,0.582298,0.716288491702,-117.874,116.998935602,116.950818098,0.61012864112854,1011.81754719,0.08455967903137207,1.03010445727,15.6658,31.42432403564453,80.2167617819,116.95,82.5251014212,5,0.76705690613,0.0,116.998
-115.635,27059.13251233101,0.0539474,156.187,1.3154706954956055,5.05106,0.00993782,0.57669448938,1188.85114142,826,0.57669448938,1051.85512061,0.582211,0.576675950399,-115.582,116.998179715,116.948405614,0.5784804821014404,816.177267609,0.07969331741333008,1.03295763232,15.6413,31.685513019561768,45.4833071093,116.947,132.871085136,5,0.713271514612,0.0,116.996
-117.959,27091.054126501083,0.0863571,156.182,1.3255252838134766,5.05102,0.00997339,0.658412059323,1185.55181835,827,0.658412059323,1176.11467751,0.582166,0.659423029991,-117.873,116.936433509,116.886665784,0.5981760025024414,1166.64725787,0.08356237411499023,1.03492931853,15.3791,31.798950672149658,92.8986780871,116.885,6.31018312266,5,0.780021726977,0.0,116.935
-118.562,27122.823971748352,0.0323792,156.788,1.3322577476501465,5.05489,0.00640647,0.759931153406,1240.87784759,828,0.759931153406,1175.70850805,0.582452,0.759919324619,-118.529,117.018326522,116.96904738,0.5887722969055176,1128.53743251,0.08163881301879883,1.06331531118,17.421,31.648305654525757,82.1794885731,116.968,38.6911599047,5,0.885824704112,0.0,117.017
-118.517,27154.662561655045,0.0487213,156.048,1.3265328407287598,5.05017,0.00996427,0.758829187815,1249.98105787,829,0.758829187815,1180.85446454,0.582087,0.759266398409,-118.469,117.023072214,116.973766304,0.5757918357849121,1121.64772241,0.08418846130371094,1.01066037166,14.2478,31.718223094940186,83.9020235161,116.973,45.8730325809,5,0.796845801556,0.0,117.022
-119.088,27186.467811346054,0.0342941,156.143,1.356220006942749,5.05077,0.00642972,0.7354412048,1272.53586101,830,0.7354412048,1205.53050059,0.582036,0.735255313141,-119.054,117.02756256,116.978032415,0.5765187740325928,1156.84695561,0.08457803726196289,1.05477215977,16.6605,31.680928945541382,89.7265399098,116.977,38.8999794263,5,0.830783225022,0.0,117.026
