AveragePolicyStd,ProcessExecTime,Entropy,ExplainedVariance,Iteration,MaxReturn,MeanKL,AverageDiscountedReturn,dLoss,PolicyExecTime,AbsLearnSignal,EnvExecTime,Time,AverageReturn,MeanKLBefore,Perplexity,MinReturn,StdReturn,NumTrajs,LossBefore,LossAfter,ItrTime
0.999063,0.14487075805664062,24.106,-0.371450522448,10,336.00259219,0.00876013,104.433059306,0.102366,1.020129919052124,0.483975708604,7.4008917808532715,120.98082900047302,119.036761269,0.0,2.94513e+10,71.9893746317,42.3816492274,205,-1.68918e-08,-0.102366,10.650362014770508
0.999209,0.14567017555236816,24.1085,0.496175092472,11,237.512843817,0.00992353,102.798414378,0.0924729,1.0399372577667236,0.733376403618,7.429275035858154,131.70045924186707,116.446923008,0.0,2.9524e+10,72.4262573098,34.600352043,209,4.98388e-09,-0.0924729,10.613103866577148
0.999414,0.14881205558776855,24.1119,0.485480698319,12,312.146582382,0.00819902,108.444803241,0.0779113,1.0499329566955566,0.7351398743,7.5850605964660645,142.56043243408203,124.221460219,0.0,2.96268e+10,74.9661775243,43.1459094366,197,1.58295e-09,-0.0779113,10.744580745697021
0.999072,0.13955950736999512,24.1061,0.235446524092,13,229.631255724,0.0066636,103.014777843,0.115932,0.9966037273406982,0.660546166699,7.341156005859375,153.1826775074005,116.719200083,0.0,2.94548e+10,75.9288882598,34.7063613115,208,-2.49314e-08,-0.115932,10.514352798461914
0.999494,0.14452815055847168,24.1133,0.288701886139,14,275.426582429,0.00613611,108.232650284,0.0656712,0.9990754127502441,0.654187467496,7.4887473583221436,163.86516046524048,123.940172047,0.0,2.96669e+10,76.9320570289,42.3689145323,197,-1.41087e-08,-0.0656712,10.581004619598389
0.999364,0.14198803901672363,24.1111,-11.6280340316,15,242.449601982,0.00761289,109.133546015,0.0314009,0.9936778545379639,0.181390739598,7.392123460769653,174.75747656822205,124.975548108,0.0,2.96011e+10,74.67692295,40.6626299723,195,5.5548e-10,-0.0314009,10.779905796051025
0.99942,0.14774584770202637,24.112,-0.127540820084,16,277.618583908,0.00910083,109.152236819,0.0944465,1.0366628170013428,0.57840552771,7.528860092163086,185.755362033844,125.140226991,0.0,2.96291e+10,75.096226892,43.0852994017,195,-1.8596e-08,-0.0944465,10.883893728256226
0.999634,0.14272356033325195,24.1157,0.475576856867,17,273.82510909,0.0095417,108.965523,0.0900133,1.0110571384429932,0.752117257115,7.4592812061309814,196.71909475326538,124.861964701,0.0,2.97371e+10,73.5830417543,41.553920434,196,-4.69067e-09,-0.0900133,10.844141721725464
0.999599,0.14575552940368652,24.1151,-39.2360377107,18,258.161377239,0.007726,108.281603812,0.0317177,1.061075210571289,0.146932057157,7.55159592628479,207.68387413024902,123.746961325,0.0,2.97194e+10,74.349420047,38.5430850242,196,-1.14633e-08,-0.0317178,10.856979131698608
0.999799,0.14781880378723145,24.1184,0.454411027039,19,273.712419613,0.00734527,110.790561192,0.0648291,1.0499706268310547,0.687822127353,7.563411474227905,218.4293782711029,127.009190729,0.0,2.98197e+10,73.3430216364,39.359272539,193,1.14063e-08,-0.0648291,10.63874888420105
0.999464,0.14411497116088867,24.1127,0.533876845308,20,290.550172758,0.00973212,110.847547193,0.0861292,1.0527288913726807,0.774665036368,7.517827272415161,229.11328125,127.237420625,0.0,2.96497e+10,76.6842037215,39.9798205199,191,-5.51037e-09,-0.0861292,10.587545394897461
