dLoss,NumTrajs,LossBefore,EnvExecTime,MeanKL,ItrTime,AveragePolicyStd,MinReturn,AverageReturn,MeanKLBefore,StdReturn,AbsLearnSignal,PolicyExecTime,ExplainedVariance,AverageDiscountedReturn,Iteration,Perplexity,MaxReturn,Time,Entropy,LossAfter,ProcessExecTime
0.060111,5,-3.8147e-09,1.4836993217468262,0.0099178,3.5329723358154297,1.00124,-484.101130419,-384.075826749,0.0,79.3762524152,0.752051925586,0.8652594089508057,0.110465487342,-29.895532552,10,5019.13,-288.937369938,40.371861696243286,8.52101,-0.060111,0.10763096809387207
0.0660448,5,-2.60353e-08,1.4607341289520264,0.00983895,3.491478681564331,1.00042,-405.158490685,-347.373755872,0.0,41.6656180443,0.752215638588,0.8335862159729004,0.0340397058227,-29.3466890363,11,4994.42,-278.077260607,43.86756443977356,8.51608,-0.0660448,0.09862494468688965
0.0594558,5,8.7738e-09,1.4851245880126953,0.00989258,3.5422592163085938,0.999692,-405.886635497,-360.313497074,0.0,41.979617678,0.705308137183,0.864006757736206,0.118014895132,-43.5798754762,12,4972.74,-288.431069408,47.5258891582489,8.51173,-0.0594558,0.0963447093963623
0.0598466,5,-5.3978e-08,1.4727365970611572,0.00996485,3.5055243968963623,0.999133,-442.919459673,-366.966452184,0.0,39.6004706586,0.724066151881,0.8481912612915039,-6.12295618765,-33.2213183222,13,4956.05,-332.080365618,51.03562545776367,8.50836,-0.0598466,0.10965204238891602
0.053789,5,5.72205e-09,1.4559779167175293,0.00644455,3.6180505752563477,0.997886,-419.491491777,-368.003870773,0.0,43.2831266846,0.757183918918,0.8266274929046631,0.234358964299,-31.6481635449,14,4919.08,-302.603536823,54.65796256065369,8.50088,-0.053789,0.10921978950500488
0.0647242,5,1.67847e-08,1.4684662818908691,0.00992905,3.5241265296936035,0.996858,-421.463239146,-344.73631797,0.0,44.8980876068,0.791077697847,0.8508405685424805,0.189627309982,-22.2403189285,15,4888.7,-298.042197607,58.29796648025513,8.49468,-0.0647242,0.10170531272888184
0.0623712,5,-2.22683e-08,1.4697887897491455,0.00985738,3.5434117317199707,0.997095,-488.083455477,-363.318132127,0.0,98.238370568,0.773489982114,0.8490862846374512,-1.50241780865,-49.5984005,16,4895.65,-217.961259058,61.84456276893616,8.4961,-0.0623713,0.10672926902770996
0.0667926,5,-1.90735e-10,1.4803707599639893,0.00995809,3.5416321754455566,0.996917,-388.632324371,-321.124111158,0.0,42.7482319741,0.723228949414,0.836625337600708,-0.0434846493256,-17.1627851714,17,4890.41,-274.594623152,65.38918590545654,8.49503,-0.0667926,0.10609030723571777
0.0586681,5,9.44138e-09,1.4818174839019775,0.00991312,3.494736671447754,0.996831,-403.350302359,-355.137642774,0.0,40.2894195424,0.675150013035,0.8499326705932617,-0.224208538983,-46.6859376343,18,4887.84,-304.977894812,69.00165963172913,8.49451,-0.058668,0.10829401016235352
0.0778997,5,6.96182e-09,1.4472239017486572,0.00988606,3.5077450275421143,0.996254,-463.544807902,-340.749679344,0.0,77.1625724763,0.697942553727,0.8214881420135498,-0.208672453093,-29.9012424754,19,4870.86,-243.912646916,72.5127203464508,8.49102,-0.0778997,0.1076362133026123
0.0517303,5,4.43459e-09,1.471168041229248,0.00642232,3.8367557525634766,0.995671,-499.594707752,-384.67736731,0.0,79.5516886801,0.701638987667,0.8221755027770996,0.197132710599,-28.9157905704,20,4853.69,-288.726463054,76.35251903533936,8.48749,-0.0517303,0.10944342613220215
