AverageAbsQYDiff,AverageDiscountedReturn,ProcessExecTime,AveragePolicyStd,PolicyExecTime,AverageReturn,AverageQ,AverageAbsQ,EnvExecTime,LossAfter,Entropy,Time,AbsLearnSignalNew,AverageAbsY,LossBefore,AverageY,ItrTime,ExplainedVariance,Perplexity,MinReturn,dLoss,AbsLearnSignalOld,Iteration,MaxReturn,NumTrajs,AverageQLoss,MeanKLBefore,AbsLearnSignal,StdReturn,MeanKL
3.50190919813,242.503430324,0.09186029434204102,0.797015,0.5875890254974365,2966.9145138,335.845,335.854,1.3154292106628418,-325.996,7.09154,15424.066986322403,0.617032493642,335.858684294,-325.958,335.850246225,32.10613226890564,0.633097007248,1201.76,1786.37337136,0.0375671,0.616908218275,460,3405.94897064,5,115.705,0.0,0.617032493642,601.825646437,0.00971232
3.65192950418,240.94464108,0.09311318397521973,0.796958,0.5893211364746094,2898.70569171,335.65,335.659,1.317476749420166,-321.262,7.09093,15456.221669912338,0.671167767104,335.664179829,-321.228,335.656363671,32.01787233352661,0.816748501685,1201.03,1782.87028812,0.0336609,0.670939843341,461,3296.85584293,5,146.488,0.0,0.671167767104,562.991176107,0.00660386
3.61696356929,233.607362285,0.08957886695861816,0.797106,0.5814981460571289,2791.13915896,335.039,335.051,1.31321120262146,-308.697,7.09202,15488.458873033524,0.718596632496,335.057222268,-308.655,335.044600178,32.105064392089844,0.84662151674,1202.33,991.650699935,0.0422363,0.717386093264,462,3398.41126888,5,146.902,0.0,0.718596632496,905.732132907,0.009897
3.57382849587,255.973045961,0.0874016284942627,0.797113,0.5814530849456787,3357.12238629,335.283,335.295,1.3002479076385498,-355.012,7.09199,15520.646618843079,0.655194842322,335.301748595,-354.975,335.290049351,32.05276679992676,0.747410398046,1202.3,3189.8695686,0.0369568,0.653777964314,463,3589.71044578,5,139.367,0.0,0.655194842322,145.237179204,0.00661836
3.57632610234,236.998191565,0.08950996398925781,0.796949,0.5936343669891357,3268.50857909,335.5,335.515,1.3123788833618164,-355.577,7.09071,15552.930744886398,0.781250347394,335.518153342,-355.531,335.504591219,32.152308225631714,0.773760453707,1200.76,3079.82346056,0.0458984,0.782414928098,464,3623.92137878,5,139.625,0.0,0.781250347394,203.379939545,0.00993359
3.50339432149,236.721481151,0.08970069885253906,0.796807,0.5873243808746338,2768.64830129,334.979,334.992,1.3236150741577148,-298.309,7.08928,15585.265128135681,0.620588650739,334.99756127,-298.271,334.983821047,32.20181584358215,0.702056492995,1199.04,405.080492109,0.0380554,0.621128621488,465,3460.8963984,5,126.776,0.0,0.620588650739,1185.43873062,0.00642607
3.48119322275,220.311680118,0.08808350563049316,0.79673,0.5788981914520264,2737.89006949,334.527,334.546,1.307847261428833,-297.178,7.08827,15617.427605628967,0.661869103972,334.549839227,-297.131,334.529877809,32.02790355682373,0.877046711956,1197.83,494.08667637,0.0467529,0.661163752984,466,3544.870707,5,120.966,0.0,0.661869103972,1130.58100349,0.00998334
3.49852496679,243.040206987,0.0837259292602539,0.796629,0.5816233158111572,3004.56372603,334.696,334.716,1.3198246955871582,-330.727,7.0875,15649.515593767166,0.639161510855,334.724698383,-330.692,334.704178273,31.955944299697876,0.730852586494,1196.91,2154.22783305,0.0352173,0.639978927162,467,3389.29256684,5,121.425,0.0,0.639161510855,443.389574589,0.00642258
3.50420390524,247.545530971,0.08766794204711914,0.796539,0.5887506008148193,3282.92359619,334.736,334.757,1.3225600719451904,-357.42,7.08683,15681.914491415024,0.729186858255,334.761873383,-357.384,334.740334186,32.2648069858551,0.8005719034,1196.11,3105.23555869,0.0361633,0.729991529668,468,3466.69963467,5,133.359,0.0,0.729186858255,128.676257721,0.00654933
3.46412573264,229.557388767,0.09307503700256348,0.796333,0.5914056301116943,3022.70393234,334.684,334.704,1.3128325939178467,-333.402,7.08521,15714.057139873505,0.626229825324,334.710009647,-333.364,334.689117512,32.00821852684021,0.662111384806,1194.18,1982.85536776,0.0379639,0.626472363632,469,3531.98597965,5,130.424,0.0,0.626229825324,544.246531693,0.00991539
