AverageReturn,AbsLearnSignalNew,AverageAbsQ,AverageY,Entropy,dLoss,AverageAbsY,Perplexity,MeanKLBefore,AverageQ,LossAfter,ItrTime,ExplainedVariance,EnvExecTime,StdReturn,Time,MinReturn,AbsLearnSignalOld,PolicyExecTime,AverageQLoss,MaxReturn,AverageAbsQYDiff,Iteration,AbsLearnSignal,MeanKL,AverageDiscountedReturn,ProcessExecTime,AveragePolicyStd,NumTrajs,LossBefore
286.664869984,0.647268609883,132.437,132.421490076,24.1116,0.321274,132.426823602,2.96176e+10,0.0,132.41,-151.978,53.81408762931824,0.0993978598355,7.918888330459595,76.3639582457,1134.737697839737,120.415167879,0.648681370922,1.0123035907745361,92.7181,505.962140642,6.58132137924,20,0.647268609883,0.0064022,212.773201436,0.1413416862487793,0.999394,86,-151.657
297.933866362,0.326896990447,140.329,140.310242083,24.1123,0.315109,140.317160416,2.96388e+10,0.0,140.299,-162.553,53.444830894470215,-1.6333655542,7.821455478668213,75.8615027666,1188.3154211044312,103.307787314,0.325973276754,0.9940633773803711,97.0863,516.043709101,6.6888022806,21,0.326896990447,0.00643546,219.338937838,0.13869524002075195,0.999436,83,-162.238
326.879333279,0.672739448756,147.751,147.725334702,24.1119,0.294418,147.733404571,2.96243e+10,0.0,147.713,-169.661,53.70918321609497,0.29322212712,8.026832342147827,70.2401219557,1242.1622126102448,180.154213603,0.672607513193,1.015235424041748,101.8,570.79824502,6.84361580924,22,0.672739448756,0.00640028,235.204960745,0.1390535831451416,0.999408,76,-169.367
311.198593269,0.228871168358,154.83,154.804678362,24.1118,0.364334,154.811028363,2.96225e+10,0.0,154.794,-176.612,53.97272777557373,-5.30129211562,8.142464876174927,73.1764528396,1296.266729593277,109.201896356,0.227559744985,1.0362350940704346,109.521,503.826584568,7.04060679152,23,0.228871168358,0.00947622,226.709824796,0.14420557022094727,0.999404,80,-176.248
304.741921058,0.334099425486,161.813,161.78910539,24.1122,0.274109,161.793659479,2.9633e+10,0.0,161.78,-180.821,53.3105583190918,-1.1804635957,8.17131757736206,62.8818443427,1349.714837551117,142.313004854,0.332344406115,1.031982183456421,114.369,471.817074123,7.1707050995,24,0.334099425486,0.00641701,224.383914474,0.1428050994873047,0.999424,82,-180.547
319.499794943,0.543223550981,167.317,167.29705048,24.1113,0.219437,167.301811841,2.96068e+10,0.0,167.286,-182.938,54.11383390426636,0.236573382672,8.213900089263916,75.5759446402,1403.9676306247711,156.092301111,0.542704656157,1.0212278366088867,117.124,527.971445856,7.25308031288,25,0.543223550981,0.00641123,231.558243236,0.14327120780944824,0.999373,79,-182.719
320.844843608,0.475376102261,172.495,172.483908704,24.1116,0.214554,172.490503643,2.96158e+10,0.0,172.469,-184.023,53.01526856422424,-0.0337019441092,8.0634286403656,76.8504943651,1457.1183507442474,110.550968777,0.472369991151,0.9914624691009521,120.922,603.379990421,7.37814871009,26,0.475376102261,0.00644066,232.236948602,0.13950371742248535,0.99939,78,-183.809
318.275096036,0.551934325088,176.482,176.4713772,24.1123,0.179443,176.475033924,2.96363e+10,0.0,176.459,-185.656,52.484567403793335,0.170512667587,8.160430192947388,70.2125693766,1509.736584663391,141.018417921,0.55084452924,1.0004475116729736,121.947,573.526764688,7.42007640743,27,0.551934325088,0.00649868,231.504131223,0.14037156105041504,0.999431,79,-185.477
310.6410961,0.65121347511,179.786,179.779662624,24.1118,0.205429,179.782796487,2.9623e+10,0.0,179.762,-185.773,54.32208585739136,0.526149417906,8.335078716278076,83.9142239237,1564.191962480545,196.426784361,0.648320870691,1.0554602146148682,123.457,839.926448168,7.45140878567,28,0.65121347511,0.0099475,227.147186975,0.14480853080749512,0.999404,82,-185.568
312.967654501,0.553454482079,182.205,182.194535569,24.1122,0.214249,182.198380156,2.96334e+10,0.0,182.179,-181.785,55.076640605926514,-0.125782397292,8.53519892692566,65.4145784542,1619.4048924446106,188.878803069,0.551813682895,1.114210605621338,125.043,571.046183924,7.49270214273,29,0.553454482079,0.00997193,229.658127648,0.1548929214477539,0.999425,82,-181.571
