ExplainedVariance,LossBefore,MeanKL,ProcessExecTime,PolicyExecTime,AverageQ,AverageAbsQYDiff,Time,MaxReturn,ItrTime,NumTrajs,Perplexity,AverageY,Iteration,AverageAbsY,AveragePolicyStd,AverageReturn,AverageAbsQ,Entropy,MeanKLBefore,AverageDiscountedReturn,LossAfter,StdReturn,MinReturn,AbsLearnSignal,EnvExecTime,AverageQLoss,AbsLearnSignalOld,dLoss,AbsLearnSignalNew
0.679200409238,-288.073,0.00988926,0.0867910385131836,0.6026175022125244,265.019,3.46120955606,22816.251464366913,3025.42287711,31.876647472381592,5,2440.26,265.023584485,681,270.836316131,0.891945,2760.78175958,270.829,7.79986,0.0,224.326588565,-288.116,138.334252571,2633.81696087,0.739299055895,1.5842258930206299,102.816,0.738497846226,0.0432434,0.739299055895
0.724818498123,-268.844,0.00990484,0.08047676086425781,0.6003983020782471,265.417,3.39480784421,22847.94113612175,3049.2049099,31.585315942764282,5,2430.48,265.421923763,682,271.159772293,0.891336,2666.77791131,271.154,7.79584,0.0,233.388202743,-268.886,288.046332955,2190.57880534,0.60455860297,1.5796735286712646,90.84,0.603822027736,0.041687,0.60455860297
0.692217909794,-224.899,0.00995993,0.07908248901367188,0.6060483455657959,265.174,3.39932080026,22879.95597934723,2907.82407513,31.910224199295044,5,2429.06,265.178039435,683,270.992957869,0.891269,2139.97550731,270.987,7.79526,0.0,225.086881744,-224.944,1088.04111619,-17.0559192777,0.768597460045,1.6045830249786377,90.2361,0.768354293382,0.0451508,0.768597460045
0.771345319103,-266.08,0.00997865,0.08432984352111816,0.6058247089385986,265.511,3.40524935359,22911.800419569016,3057.07476024,31.73593306541443,5,2427.62,265.515824091,684,271.247742106,0.891183,2635.3192424,271.24,7.79467,0.0,220.661632263,-266.126,546.536149728,1557.76724853,0.661809921469,1.6002283096313477,88.6786,0.662127289849,0.0456238,0.661809921469
0.770602561275,-174.697,0.00997553,0.08321714401245117,0.5988008975982666,264.967,3.4691612381,22943.844971179962,2978.29066641,31.93938374519348,5,2421.11,264.970042705,685,270.812612936,0.890801,1702.67745045,270.807,7.79198,0.0,228.014707684,-174.743,865.496637692,315.903075307,0.634020523269,1.6315345764160156,95.8398,0.634193667605,0.0460663,0.634020523269
0.107722798741,-291.051,0.00640065,0.08360528945922852,0.6014776229858398,265.342,3.48812911132,22975.739557027817,3004.10200381,31.786722898483276,5,2426.04,265.34706366,686,271.131850809,0.891036,2847.95759959,271.123,7.79401,0.0,207.167791104,-291.084,155.305130779,2590.52365222,0.657125216498,1.5805950164794922,100.87,0.657265469343,0.0332947,0.657125216498
0.771038911843,-291.943,0.00986594,0.0792074203491211,0.5942165851593018,265.186,3.41216241998,23007.564547777176,2942.78241767,31.717869520187378,5,2420.46,265.189955069,687,271.042775639,0.890687,2823.16223421,271.032,7.79171,0.0,217.781194789,-291.985,112.909028084,2648.73269266,0.775498818099,1.5689809322357178,88.9552,0.77486566089,0.0421448,0.775498818099
0.753268463605,-290.358,0.00997334,0.08393239974975586,0.5974929332733154,265.424,3.45783647387,23039.309381961823,3007.28594225,31.638553380966187,5,2423.45,265.428183633,688,271.190645294,0.890868,2847.83281201,271.182,7.79295,0.0,227.574175799,-290.407,124.823866123,2633.00481743,0.775222981361,1.566957712173462,96.4918,0.776090199767,0.0492249,0.775222981361
0.399879992201,-234.834,0.0099646,0.08318877220153809,0.6016583442687988,265.016,3.44324352472,23071.30769920349,2985.71238181,31.88961672782898,5,2421.14,265.021038345,689,270.877217916,0.890797,2248.37565057,270.871,7.792,0.0,207.00774588,-234.874,1166.69835475,-71.2072954744,0.763835140401,1.6124682426452637,95.0007,0.763366785142,0.0399323,0.763835140401
-2.1535564934,-281.285,0.00640651,0.08323526382446289,0.6013574600219727,264.983,3.4638384558,23103.093766450882,2837.96526247,31.67731261253357,5,2417.63,264.986219522,690,270.901471641,0.890649,2703.82930885,270.894,7.79054,0.0,258.825139164,-281.315,134.795355263,2467.72456641,0.362603593918,1.5775642395019531,96.0163,0.362518736753,0.0297852,0.362603593918
0.791629844168,-295.826,0.00989668,0.07874298095703125,0.6185181140899658,265.403,3.48346373265,23135.211010456085,2999.69547537,32.00842356681824,5,2417.3,265.408083571,691,271.193384754,0.890616,2958.36608638,271.185,7.7904,0.0,237.553094024,-295.877,37.7960800429,2912.08316531,0.7890580838,1.584306240081787,97.8152,0.789255032892,0.0508423,0.7890580838
0.855182640409,-295.482,0.00987768,0.08092689514160156,0.6185762882232666,266.014,3.45701938862,23167.3628115654,3079.00289923,32.0407817363739,5,2412.17,266.018458671,692,271.68862198,0.890306,3000.91015562,271.679,7.78828,0.0,239.694409721,-295.525,76.0333474595,2870.45347504,0.750301414865,1.5669529438018799,95.806,0.750286015515,0.0428772,0.750301414865
0.57475306493,-200.469,0.00994137,0.08649253845214844,0.6606311798095703,265.639,3.48516882046,23199.74516582489,3108.22157519,32.27454948425293,5,2411.87,265.641747303,693,271.422746605,0.89028,1919.97801292,271.415,7.78816,0.0,169.457180604,-200.515,1347.67983821,-525.844146586,0.805400443186,1.6394016742706299,104.374,0.805326517414,0.0464172,0.805400443186
0.547744841253,-290.352,0.00994189,0.08748221397399902,0.6218669414520264,265.337,3.38526521642,23231.612139940262,3082.61809825,31.76027822494507,5,2411.53,265.339335657,694,271.216811156,0.890285,2800.21692594,271.209,7.78802,0.0,222.244338182,-290.394,234.003454259,2382.27995809,0.707234166114,1.5757029056549072,91.0503,0.706794655271,0.0421143,0.707234166114
0.738827035004,-289.807,0.00980211,0.09163808822631836,0.6631746292114258,265.688,3.46114001038,23263.77885723114,2962.18381364,32.05344867706299,5,2413.73,265.692421476,695,271.508116979,0.890447,2784.69714287,271.502,7.78893,0.0,220.433305741,-289.848,138.580635861,2606.28565385,0.737309651432,1.5852608680725098,97.3898,0.736880570342,0.0415649,0.737309651432
0.589563077334,-268.433,0.00997171,0.08673501014709473,0.6377801895141602,265.282,3.49187318612,23296.254305124283,3314.40845474,32.357342004776,5,2415.29,265.286545058,696,271.226002342,0.890551,2691.33177521,271.217,7.78957,0.0,243.141051726,-268.472,663.339340894,1416.52365967,0.715132008486,1.5822129249572754,100.043,0.71604667093,0.0387878,0.715132008486
0.744407662234,-291.552,0.00999864,0.07988953590393066,0.6191263198852539,265.324,3.43791333535,23328.551240444183,2909.48729523,32.191723108291626,5,2418.04,265.32811149,697,271.255188138,0.890727,2797.79225931,271.248,7.79071,0.0,222.764113014,-291.591,82.5426429052,2717.95346059,0.758164999257,1.5644054412841797,93.4229,0.758886127652,0.0391846,0.758164999257
0.744172681557,-286.469,0.00983616,0.08505368232727051,0.6367459297180176,265.913,3.39035720438,23361.055878162384,2907.86336134,32.4026939868927,5,2413.52,265.917113863,698,271.811788553,0.890451,2756.77770721,271.804,7.78884,0.0,203.970687782,-286.515,137.741664314,2567.9576264,0.69818365188,1.5408000946044922,90.302,0.697591496527,0.0463562,0.69818365188
0.804248988919,-292.756,0.00988238,0.08103251457214355,0.6360495090484619,265.836,3.45821115857,23393.38434290886,3006.46464405,32.21882963180542,5,2412.77,265.840407263,699,271.768230019,0.890414,2884.29477031,271.76,7.78853,0.0,215.627730348,-292.802,102.431682032,2703.39682734,0.766070879804,1.5466320514678955,99.9172,0.76531312746,0.0455933,0.766070879804
0.778793675846,-290.948,0.00995712,0.08718299865722656,0.622445821762085,265.927,3.39312167061,23425.732088804245,2899.99293331,32.24563717842102,5,2418.43,265.928887255,700,271.833846907,0.89075,2780.00922445,271.83,7.79087,0.0,225.650576475,-290.987,70.2765043551,2689.88305927,0.797463025499,1.5577080249786377,87.7286,0.79741985821,0.0395508,0.797463025499
0.760643137774,-292.708,0.00999435,0.08114910125732422,0.5959742069244385,266.429,3.42772935665,23457.840667009354,3094.48238707,31.99945044517517,5,2412.98,266.432179259,701,272.204541947,0.89043,2851.70877363,272.197,7.78862,0.0,236.022869986,-292.752,184.386911045,2601.07051645,0.771772508688,1.5643486976623535,98.7807,0.771955255758,0.0445251,0.771772508688
0.77267673333,-293.215,0.00996127,0.08847689628601074,0.619880199432373,266.457,3.40539409203,23490.133980035782,2994.85985238,32.186463832855225,5,2411.67,266.460001145,702,272.2262927,0.890373,2861.31548215,272.221,7.78807,0.0,236.831880086,-293.262,95.9826282178,2746.88054402,0.785192252198,1.5813703536987305,95.5104,0.78547363407,0.0470276,0.785192252198
0.79745843972,-290.191,0.00997398,0.0865626335144043,0.6200401782989502,266.32,3.43083490057,23522.115658044815,2942.60487927,31.874292373657227,5,2406.12,266.324872689,703,272.116765313,0.890036,2785.95205797,272.111,7.78577,0.0,231.230287272,-290.237,116.749006346,2626.68631443,0.778548309993,1.5909016132354736,98.4941,0.779350234254,0.0456238,0.778548309993
0.760544881849,-208.624,0.00991369,0.08352255821228027,0.6174228191375732,266.03,3.36903378702,23554.520153284073,2892.11408881,32.29841923713684,5,2402.24,266.034930701,704,271.926453923,0.889811,1927.97098431,271.919,7.78416,0.0,212.358697118,-208.67,1135.93759924,-66.1275884337,0.540793284786,1.6006364822387695,85.9704,0.540261030172,0.0464478,0.540793284786
0.588246710686,-293.593,0.00995972,0.08142948150634766,0.5997674465179443,266.755,3.40532233345,23586.39499783516,2948.92954353,31.76616644859314,5,2403.7,266.757929967,705,272.489498891,0.889929,2866.18184562,272.484,7.78476,0.0,223.759353528,-293.637,45.6304378881,2814.93706136,0.673265058622,1.586169719696045,93.983,0.673135470596,0.043457,0.673265058622
0.617183349263,-256.602,0.0098652,0.0853877067565918,0.5972483158111572,266.225,3.41002092944,23618.409020900726,2898.45953075,31.911340475082397,5,2397.68,266.227175322,706,272.087134423,0.88956,2448.3993434,272.081,7.78226,0.0,210.34313216,-256.641,657.067574155,1171.98076732,0.752244836208,1.6007447242736816,94.2716,0.752362547445,0.0397949,0.752244836208
0.678835342396,-289.705,0.00988323,0.0816032886505127,0.5943341255187988,266.352,3.43253651154,23650.422957658768,3061.11016598,31.909677982330322,5,2401.25,266.357013453,707,272.200393297,0.889798,2771.13140235,272.191,7.78374,0.0,232.921755224,-289.745,174.22530117,2523.24092086,0.6971977409,1.5825233459472656,97.2886,0.696819061952,0.0398865,0.6971977409
0.828229406124,-293.562,0.00994666,0.08906936645507812,0.6502087116241455,266.747,3.39429118051,23682.69852566719,3080.51402719,32.163918256759644,5,2398.05,266.749849924,708,272.550290358,0.889625,2906.84285593,272.543,7.78241,0.0,245.326150221,-293.601,105.898952841,2783.87202984,0.766893014058,1.5972814559936523,90.563,0.767821494611,0.0392151,0.766893014058
0.794573191519,-293.319,0.0064223,0.08178448677062988,0.6188113689422607,266.871,3.43719381701,23714.857462882996,3161.55560151,32.050785303115845,5,2395.9,266.877151413,709,272.651813868,0.889488,2924.19223946,272.645,7.78151,0.0,216.313320649,-293.352,137.720439593,2740.40446263,0.767359597129,1.579986572265625,98.6855,0.76751548126,0.0330811,0.767359597129
