AverageReturn,Perplexity,AverageY,AverageDiscountedReturn,NumTrajs,MaxReturn,ItrTime,ProcessExecTime,Time,LossAfter,LossBefore,StdReturn,ExplainedVariance,AveragePolicyStd,AverageQ,AverageAbsY,AverageQLoss,MinReturn,MeanKLBefore,MeanKL,AbsLearnSignalNew,dLoss,EnvExecTime,AbsLearnSignal,PolicyExecTime,AverageAbsQYDiff,Iteration,AbsLearnSignalOld,AverageAbsQ,Entropy
315.142466872,2.9743e+10,175.822472876,229.837723621,81,574.050158933,55.86079454421997,0.1480882167816162,1696.193992614746,-160.114,-160.005,73.3877651809,-19.6698154858,0.999643,175.799,175.834394262,119.918,186.531558313,0.0,0.00867101,0.180009661627,0.108749,8.807130813598633,0.180009661627,1.106921672821045,7.49027106701,30,0.179892817664,175.854,24.1159
317.534598619,2.97672e+10,172.63945608,231.278960513,80,650.646845334,56.45421123504639,0.14947843551635742,1752.7784554958344,-161.368,-161.217,73.9712943179,0.572477603079,0.999691,172.617,172.650097877,117.619,214.32539605,0.0,0.00998169,0.684903081862,0.150803,8.866936683654785,0.684903081862,1.119093656539917,7.42592648564,31,0.684380394712,172.672,24.1167
300.350340645,2.98481e+10,170.060255934,222.086781735,84,660.997834599,55.22669529914856,0.14712119102478027,1808.1349263191223,-155.924,-155.788,71.0141857384,0.464070415796,0.999851,170.039,170.06980244,112.199,198.050409345,0.0,0.00894715,0.521255328439,0.136185,8.670791864395142,0.521255328439,1.0897834300994873,7.30402494308,32,0.521242777691,170.089,24.1194
342.935989249,2.98079e+10,167.545234905,241.845242862,74,677.376584697,56.49108123779297,0.14913487434387207,1864.7566266059875,-164.125,-163.972,98.2987556814,-2.91311061378,0.999772,167.523,167.550831835,108.195,198.547386221,0.0,0.00988466,0.225521435073,0.153122,8.968307733535767,0.225521435073,1.1335322856903076,7.18627869594,33,0.225270624941,167.564,24.118
331.974767491,2.98053e+10,165.676932492,238.00057693,75,599.850257394,55.83640193939209,0.1472930908203125,1920.7210743427277,-162.852,-162.725,77.6998675898,0.354730366715,0.999767,165.656,165.683958056,102.084,170.371790321,0.0,0.00644187,0.68153794883,0.127243,9.031898260116577,0.68153794883,1.1174421310424805,7.04697188537,34,0.681851941566,165.699,24.118
335.458225323,2.97616e+10,164.36294746,237.982826069,74,805.372377158,54.804834604263306,0.14474916458129883,1975.650957107544,-162.885,-162.727,93.5907663587,0.15596528203,0.99968,164.347,164.369616852,99.0265,84.1097939531,0.0,0.00952448,0.535294359064,0.157486,8.556735754013062,0.535294359064,1.0803868770599365,6.92062402529,35,0.536035457642,164.39,24.1165
360.805842266,2.97431e+10,163.348572196,251.314569872,70,654.810465208,55.721378326416016,0.1479475498199463,2031.4990274906158,-165.825,-165.676,85.9989052272,0.435969221377,0.999644,163.328,163.355235099,95.6952,215.258795022,0.0,0.00950672,0.670294423929,0.149582,8.941236972808838,0.670294423929,1.1247024536132812,6.8382695719,36,0.6700049635,163.366,24.1159
379.251036678,2.97313e+10,162.991211371,257.145786843,65,669.697271549,56.22848558425903,0.14870500564575195,2087.8563981056213,-167.161,-167.053,110.909613427,-39.3895279532,0.999621,162.975,162.999898641,92.8626,189.365044378,0.0,0.0095735,0.121802664719,0.108047,8.807581424713135,0.121802664719,1.1141395568847656,6.76193532415,37,0.121747375063,163.015,24.1155
351.431399899,2.98076e+10,162.57296535,245.151240901,70,786.263329851,55.726482629776,0.1468961238861084,2143.7074913978577,-162.699,-162.514,97.4011317975,-0.514292844383,0.999772,162.555,162.581205936,90.4895,171.118607816,0.0,0.00802298,0.440895629561,0.184494,8.880648136138916,0.440895629561,1.1030819416046143,6.62715211272,38,0.440569283833,162.598,24.118
339.404299735,2.98312e+10,162.119294381,238.078625116,71,661.011472568,55.408212661743164,0.14575695991516113,2199.242609024048,-165.752,-165.573,101.905028846,-15.3898674053,0.999818,162.103,162.126353578,88.6386,124.951043874,0.0,0.008448,0.185914543526,0.178879,8.744086027145386,0.185914543526,1.0822467803955078,6.56922305538,39,0.185859893433,162.146,24.1188
