StdReturn,MeanKLBefore,Perplexity,ExplainedVariance,AbsLearnSignal,Time,LossAfter,Iteration,Entropy,EnvExecTime,ProcessExecTime,LossBefore,MinReturn,MeanKL,AverageReturn,MaxReturn,ItrTime,NumTrajs,dLoss,AveragePolicyStd,AverageDiscountedReturn,PolicyExecTime
60.0116244854,0.0,0.319793,0.885306929368,0.719932821292,12457.923078775406,-0.0305234,3462,-1.14008,1.6838226318359375,0.08900642395019531,6.48499e-09,1537.64312972,0.00641794,1605.12469218,1694.52433326,3.5803959369659424,5,0.0305234,0.211386,115.22291804,0.7725396156311035
58.3969345,0.0,0.319583,0.894342969637,0.732265654462,12461.573001861572,-0.0364854,3463,-1.14074,1.680243968963623,0.09520173072814941,2.99454e-08,1460.0436202,0.00998205,1547.92992927,1609.25252499,3.5372703075408936,5,0.0364855,0.211369,110.427847474,0.7737531661987305
29.484733391,0.0,0.318689,0.913600199851,0.717704901962,12465.100544691086,-0.0338454,3464,-1.14354,1.6637816429138184,0.09133195877075195,-4.19617e-09,1542.70440708,0.00997081,1573.87249976,1627.132078,3.522662878036499,5,0.0338454,0.211276,119.456454056,0.7622401714324951
66.7578056452,0.0,0.31864,0.875985133483,0.673351478928,12468.690439462662,-0.0340681,3465,-1.14369,1.699183464050293,0.09508109092712402,-2.84195e-08,1434.07734541,0.00640609,1558.30167654,1631.42859954,3.5848426818847656,5,0.034068,0.211238,99.1233140604,0.7705061435699463
43.2927005809,0.0,0.31837,0.888797417914,0.684135280427,12472.34273147583,-0.039382,3466,-1.14454,1.6667399406433105,0.09814190864562988,-8.01086e-09,1527.08308339,0.00640445,1577.25232363,1657.30329497,3.5426876544952393,5,0.039382,0.211207,101.612343266,0.8025991916656494
24.7761888745,0.0,0.31776,0.93046467246,0.697058360863,12476.0177795887,-0.0349577,3467,-1.14646,1.6961183547973633,0.10277962684631348,-3.43323e-09,1551.39190665,0.00640783,1595.27633803,1625.06712858,3.6699936389923096,5,0.0349577,0.211127,118.143783316,0.8294644355773926
72.4778182891,0.0,0.317278,0.820470020144,0.626192269374,12479.574554920197,-0.0470309,3468,-1.14798,1.680556297302246,0.09048724174499512,-4.76837e-09,1444.78125928,0.00997349,1536.87020696,1609.29259902,3.5510597229003906,5,0.0470309,0.211066,97.2291130549,0.7835383415222168
22.0669923864,0.0,0.316418,0.871557621994,0.661454033432,12483.381780385971,-0.0438502,3469,-1.15069,1.7229149341583252,0.10634613037109375,2.05994e-08,1499.91792653,0.00641775,1529.96637633,1563.61408914,3.7033424377441406,5,0.0438502,0.210985,94.7503018109,0.8178894519805908
48.9878482379,0.0,0.316386,0.905383017379,0.698258165635,12486.933528900146,-0.0472116,3470,-1.15079,1.707202434539795,0.09750843048095703,-7.62939e-10,1490.55659973,0.00995824,1560.07482615,1622.95328395,3.5458364486694336,5,0.0472116,0.210972,109.44852093,0.7915642261505127
23.9980070394,0.0,0.316482,0.851510754001,0.755896249799,12490.476541519165,-0.0267497,3471,-1.15049,1.695188283920288,0.09917354583740234,6.67572e-09,1556.17587408,0.00641803,1590.62584433,1612.82734536,3.5386385917663574,5,0.0267497,0.210984,109.099989836,0.7824625968933105
8.9757180858,0.0,0.316088,0.90426351061,0.718767762664,12494.133449792862,-0.033296,3472,-1.15173,1.672156810760498,0.09336686134338379,-3.05176e-09,1544.1509001,0.00642927,1554.58096246,1568.91720609,3.5402894020080566,5,0.033296,0.210963,110.135069197,0.771291971206665
63.788165785,0.0,0.316581,0.887281527414,0.668240661554,12497.626130342484,-0.0411642,3473,-1.15018,1.6409761905670166,0.09805941581726074,7.62939e-10,1485.13210349,0.00995107,1570.11495931,1649.49291691,3.488649368286133,5,0.0411642,0.21102,102.514724738,0.7466399669647217
79.8669037178,0.0,0.316829,0.890975220537,0.669232649668,12501.191217660904,-0.0462033,3474,-1.14939,1.6804490089416504,0.0955653190612793,-1.71661e-08,1437.79170277,0.0099999,1558.34947745,1646.26198396,3.560060501098633,5,0.0462033,0.211041,101.892788179,0.7587857246398926
31.5038264578,0.0,0.316138,0.915090606442,0.69439937313,12504.817431926727,-0.0327182,3475,-1.15158,1.6826374530792236,0.09939193725585938,2.67029e-09,1516.90655185,0.00640841,1555.45181196,1604.03973862,3.513823986053467,5,0.0327182,0.210925,101.807180917,0.7569735050201416
85.7655241923,0.0,0.315947,0.814381728954,0.610615242883,12508.296906709671,-0.0340561,3476,-1.15218,1.681375503540039,0.08603811264038086,-3.31879e-08,1350.12644308,0.00642834,1509.26032506,1600.68328426,3.475231885910034,5,0.0340561,0.210911,88.8652795994,0.7551963329315186
114.852382092,0.0,0.315627,0.871044340879,0.63412436276,12511.790736675262,-0.0484945,3477,-1.15319,1.6835658550262451,0.09426355361938477,-7.62939e-09,1323.05465641,0.00997637,1543.56096876,1655.92665483,3.4884872436523438,5,0.0484945,0.210866,96.3095839088,0.7704384326934814
