MeanKL,ProcessExecTime,AbsLearnSignalOld,Perplexity,LossAfter,ItrTime,AverageQ,AveragePolicyStd,EnvExecTime,ExplainedVariance,MinReturn,LossBefore,Time,AverageAbsY,AverageReturn,Iteration,AbsLearnSignal,AverageAbsQYDiff,MaxReturn,StdReturn,AbsLearnSignalNew,MeanKLBefore,NumTrajs,AverageQLoss,AverageAbsQ,AverageY,PolicyExecTime,AverageDiscountedReturn,Entropy,dLoss
0.00850439,0.1440870761871338,0.160568989714,2.82936e+10,-179.587,68.51515579223633,181.813,0.996748,10.92210865020752,-20.9868189571,234.551682547,-179.541,21843.47420525551,181.844135833,417.896749697,327,0.160579462816,4.85875286937,703.610055753,92.1985922642,0.160579462816,0.0,56,46.7409,181.88,181.819520075,1.2635867595672607,271.589192657,24.0659,0.0454254
0.00983826,0.150465726852417,0.630299848993,2.82992e+10,-183.429,68.81328654289246,181.56,0.99676,11.251569509506226,0.59018875221,299.606685403,-183.352,21912.418682813644,181.585174891,428.467434053,328,0.630555074752,4.83463948774,617.45516268,70.5184428226,0.630555074752,0.0,55,45.8745,181.622,181.563749379,1.2905831336975098,277.147011775,24.0661,0.0771332
0.00993436,0.14002156257629395,0.644238113958,2.82712e+10,-182.578,67.18259024620056,181.454,0.996703,10.778170585632324,0.5782582364,275.636599505,-182.503,21979.72053217888,181.484190656,440.838536425,329,0.644330920305,4.85536512718,717.714030862,99.5548070335,0.644330920305,0.0,53,46.2196,181.519,181.458981952,1.2217402458190918,280.762022276,24.0651,0.0747223
0.00930609,0.14230656623840332,0.653859273284,2.8206e+10,-185.646,66.7273120880127,181.985,0.996567,10.623427629470825,0.4341477569,302.177311672,-185.565,22046.572407245636,182.016346778,454.817179167,330,0.654285587491,4.87069209786,677.757808651,81.7993768079,0.654285587491,0.0,52,46.8269,182.05,181.990187884,1.2203421592712402,287.835098259,24.0628,0.0812073
0.00962542,0.14441275596618652,0.687202314424,2.81882e+10,-185.631,67.1184389591217,181.714,0.99653,11.073348045349121,0.572602241265,273.621090453,-185.553,22113.810701847076,181.742389426,423.713611167,331,0.687512419787,4.85790814654,652.48866093,88.0269610162,0.687512419787,0.0,56,46.1416,181.775,181.719209326,1.273313283920288,274.031341688,24.0622,0.0776215
0.00928801,0.14422059059143066,0.6336423566,2.82276e+10,-179.979,66.86623239517212,181.438,0.99661,10.89427638053894,0.50686718172,261.788874579,-179.897,22180.798816919327,181.466023436,405.034234885,332,0.633597782157,4.90158689287,636.214166835,90.7958404741,0.633597782157,0.0,58,47.0532,181.497,181.443361778,1.2533338069915771,265.904390495,24.0636,0.0823212
0.00889447,0.14641451835632324,0.315465479771,2.82106e+10,-180.328,67.12790513038635,181.661,0.996575,11.04753828048706,-1.15994288795,308.970636367,-180.26,22248.054325819016,181.686823389,424.494390498,333,0.315330519855,4.88874394501,666.444139058,75.9403559449,0.315330519855,0.0,55,47.0794,181.721,181.665647531,1.282700538635254,274.791725496,24.063,0.0686646
0.00829891,0.13907861709594727,0.392082852067,2.821e+10,-183.282,66.84670329093933,181.721,0.996575,10.596151113510132,-0.390243219126,287.438756896,-183.226,22315.026563167572,181.747550481,428.776136523,334,0.392148207344,4.87583777741,672.040923249,98.2199689246,0.392148207344,0.0,55,46.3921,181.779,181.7267224,1.212597131729126,276.012108115,24.0629,0.0563354
0.00325111,0.1425166130065918,0.217293309052,2.81893e+10,-182.375,67.27745485305786,181.224,0.996531,10.901797771453857,-5.53668381363,285.294808421,-182.317,22382.429285764694,181.251371936,432.551454324,335,0.217448959167,4.86506843507,771.592134774,104.56308664,0.217448959167,0.0,54,46.2821,181.285,181.228409052,1.2561166286468506,276.37619921,24.0622,0.0578613
0.00578681,0.13960838317871094,0.11825812383,2.81746e+10,-181.409,66.82843708992004,180.874,0.9965,10.445752143859863,-195.811693337,261.349927039,-181.365,22449.38038945198,180.900831306,424.325516996,336,0.118262603045,4.84804706855,777.419191574,93.8518464208,0.118262603045,0.0,55,46.2571,180.935,180.878752861,1.200286626815796,274.670581462,24.0617,0.0437317
0.00900671,0.14256954193115234,0.3153703191,2.81649e+10,-188.899,67.3748471736908,180.9,0.99648,10.611068487167358,-0.956339162684,274.429106622,-188.847,22516.87457227707,180.926104177,448.095145874,337,0.315395135805,4.85290279768,718.397044981,99.8536382602,0.315395135805,0.0,53,45.992,180.958,180.904701933,1.231116533279419,283.517005642,24.0613,0.0514221
0.0087316,0.14469337463378906,0.693037016733,2.81895e+10,-181.244,68.0959255695343,180.605,0.996532,11.05531096458435,0.641117877608,287.333399467,-181.145,22585.09991121292,180.631760717,428.339235346,338,0.693485907174,4.84274415814,674.067176871,87.9387608834,0.693485907174,0.0,54,45.815,180.665,180.611290438,1.256734848022461,275.911284373,24.0622,0.0990143
0.00889565,0.14244604110717773,0.574039248291,2.81224e+10,-185.48,67.76975703239441,180.74,0.996392,10.763018131256104,0.215610027156,293.473465429,-185.398,22652.99377846718,180.766515685,444.214239382,339,0.574216702047,4.83405642211,680.220985498,89.4224331712,0.574216702047,0.0,53,45.7367,180.805,180.743582106,1.2280724048614502,282.922317154,24.0598,0.0816345
0.00868677,0.14523029327392578,0.512244701636,2.81412e+10,-177.994,68.02273416519165,180.516,0.996431,11.137678861618042,0.215716684696,268.191235901,-177.921,22721.13671565056,180.547325076,429.208310981,340,0.512592604605,4.86483231576,701.53555628,88.9829084439,0.512592604605,0.0,55,46.2789,180.582,180.522149326,1.283888339996338,276.379070475,24.0605,0.0730133
